timestamp,STILL,TILTING,ON_FOOT,WALKING,IN_VEHICLE,ON_BICYCLE,UNDEFINED,RUNNING
1680891866942,90.0,,5.0,5.0,,4.0,1.0,
1680891882721,99.0,,,,,,1.0,
1680891897987,96.0,,2.0,2.0,,,2.0,
1680891913246,45.0,,43.0,43.0,1.0,7.0,2.0,1.0
1680891928535,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891943813,2.0,,93.0,93.0,,1.0,2.0,2.0
1680891960154,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891975411,67.0,,24.0,24.0,2.0,4.0,2.0,
1680891990659,98.0,,1.0,1.0,,,1.0,
1680892005951,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892017829,10.0,,83.0,83.0,,4.0,2.0,1.0
1680892022999,,100.0,,,,,,
1680892023044,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892038273,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892045006,,100.0,,,,,,
1680892045078,48.0,,39.0,39.0,4.0,6.0,2.0,
1680892050332,,100.0,,,,,,
1680892050383,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892059568,,100.0,,,,,,
1680892059610,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892064847,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892070066,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892085334,99.0,,,,,,1.0,
1680892100593,98.0,,,,1.0,,1.0,
1680892105799,98.0,,,,1.0,,1.0,
1680892120924,,100.0,,,,,,
1680892120951,59.0,,19.0,19.0,10.0,2.0,3.0,
1680892129867,,100.0,,,,,,
1680892129911,87.0,,1.0,1.0,5.0,,2.0,
1680892145093,96.0,,2.0,2.0,,,2.0,
1680892160336,,100.0,,,,,,
1680892160377,91.0,,4.0,4.0,2.0,,2.0,
1680892175576,99.0,,,,,,1.0,
1680892190794,20.0,,2.0,2.0,72.0,,1.0,
1680892196030,46.0,,4.0,4.0,33.0,,2.0,
1680892201273,4.0,,1.0,1.0,91.0,,,
1680892206495,4.0,,,,92.0,,1.0,
1680892221736,7.0,,2.0,2.0,86.0,,1.0,
1680892236974,,100.0,,,,,,
1680892237004,4.0,,2.0,2.0,84.0,,1.0,
1680892252242,96.0,,1.0,1.0,1.0,,1.0,
1680892267424,99.0,,,,,,1.0,
1680892282689,99.0,,,,,,1.0,
1680892294455,97.0,,,,1.0,,2.0,
1680892313523,,100.0,,,,,,
1680892313565,92.0,,3.0,3.0,2.0,,2.0,
1680892328823,,100.0,,,,,,
1680892328873,86.0,,3.0,3.0,5.0,,2.0,
1680892339638,84.0,,1.0,1.0,8.0,,2.0,
1680892354919,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892365711,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892370950,6.0,,5.0,5.0,83.0,1.0,2.0,
1680892376285,8.0,,2.0,2.0,82.0,,2.0,
1680892391590,3.0,,1.0,1.0,81.0,,2.0,
1680892408114,,100.0,,,,,,
1680892408154,57.0,,16.0,16.0,13.0,6.0,2.0,
1680892423333,,100.0,,,,,,
1680892423366,35.0,,19.0,19.0,20.0,6.0,2.0,
1680892440235,,100.0,,,,,,
1680892440266,76.0,,9.0,9.0,5.0,6.0,2.0,
1680892456161,77.0,,6.0,6.0,6.0,4.0,2.0,
1680892461398,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892466647,76.0,,3.0,3.0,14.0,1.0,2.0,
1680892471944,83.0,,6.0,6.0,4.0,1.0,2.0,
1680892477192,99.0,,,,,,1.0,
1680892482499,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892487760,97.0,,,,1.0,,2.0,
1680892495053,81.0,,1.0,1.0,11.0,,1.0,
1680892510287,99.0,,,,,,1.0,
1680892525553,99.0,,,,,,1.0,
1680892540804,99.0,,,,,,1.0,
1680892556027,99.0,,,,,,1.0,
1680892561238,99.0,,,,,,1.0,
1680892577017,99.0,,,,,,1.0,
1680892592909,99.0,,,,,,1.0,
1680892608933,99.0,,,,,,1.0,
1680892627172,99.0,,,,,,1.0,
1680892641062,99.0,,,,,,1.0,
1680892656267,99.0,,,,,,1.0,
1680892671455,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680892686622,81.0,,1.0,1.0,11.0,,1.0,
1680892701801,99.0,,,,,,1.0,
1680892716990,99.0,,,,,,1.0,
