timestamp,stress
1679499244512,2
1679501342086,3
1679506281811,1
1679511867978,1
1679541848858,1
1679547666035,1
1679550837199,3
1679552940277,3
1679559982510,4
1679563262519,1
1679566277135,1
1679568583174,2
1679571920708,2
1679578853822,1
1679581184934,1
1679592551905,1
1679594703178,2
1679597293030,3
1679614333117,4
1679618046099,2
1679623328952,2
1679625741842,2
1679627640073,3
1679632297492,2
1679639771824,1
1679644697634,1
1679647508741,1
1679650056441,1
1679663662264,1
1679667375859,2
1679679388666,1
1679682507098,4
1679684789554,5
1679688067816,4
1679710275102,3
1679715125049,5
1679720538617,5
1679727666479,4
1679733307510,3
1679735625095,2
1679737538510,4
1679743031787,3
1679751246338,2
1679754601790,2
1679767473906,2
1679773723427,3
1679775801642,2
1679794302474,2
1679797233906,3
1679799334437,2
1679801730826,3
1679805085693,1
1679807435820,1
1679815797097,3
1679817733194,3
1679821663142,1
1679823780894,2
1679829578811,2
1679832849490,3
1679836221965,1
1679838351630,1
1679876841820,2
1679880672136,2
1679883069856,3
1679886198227,5
1679891985133,2
1679894018768,1
1679901289152,2
1679908612577,2
1679910824699,2
1679913748253,1
1679916927385,1
1679922373072,1
1679925297841,4
1679927572942,3
1679936901975,5
1679939339034,5
1679943524940,5
1679945450447,5
1679964863590,5
1679967798390,5
1679971313825,5
1679973458413,2
1679978278292,3
1679983712751,3
1679990114379,3
1679998350930,5
1680000584769,2
1680003894172,2
1680007853852,3
1680011092588,3
1680019355317,1
1680027840820,2
1680053958928,2
1680058922939,3
1680070866179,3
1680084069859,2
1680088054726,1
1680092989759,2
1680101430015,4
1680104897367,5
1680110322848,2
1680116858904,4
1680141607175,3
1680145340880,2
1680148016484,2
1680155067406,3
1680158459129,4
1680160475981,3
1680162893704,4
1680165100300,5
1680168050468,2
1680170723069,2
1680174376401,2
1680178097114,2
1680186788406,2
1680192395900,2
1680199172518,1
1680225479211,1
1680233091535,1
1680237218075,2
1680245216195,2
1680250006937,2
1680254413346,2
1680259558277,1
