timestamp,stress
1679470460595,2
1679473200674,3
1679477363004,2
1679479328320,4
1679481205222,1
1679484970442,1
1679490863198,1
1679493612358,1
1679495705867,2
1679499848464,1
1679501737661,1
1679503985311,1
1679528631772,4
1679530902039,2
1679532795081,1
1679537009491,1
1679538834812,1
1679541928998,2
1679544566028,2
1679546486006,2
1679550472649,3
1679553868069,4
1679558426686,3
1679562587569,4
1679566068679,1
1679568370455,2
1679570717319,2
1679575408587,2
1679578192166,3
1679579996800,2
1679582626417,4
1679584549008,2
1679590176233,1
1679616174937,5
1679618057924,3
1679623779734,2
1679625833660,2
1679628163065,2
1679630177347,2
1679633594945,2
1679639935407,4
1679642587386,3
1679647595262,3
1679651926840,1
1679654141530,4
1679656779501,3
1679658678426,2
1679661958144,2
1679665490603,1
1679670535603,2
1679702509676,2
1679706033632,2
1679710270947,1
1679718316853,2
1679720613505,2
1679735210903,2
1679737099477,2
1679739046787,2
1679742044245,2
1679743903588,3
1679746925056,2
1679749087115,1
1679751669112,2
1679756011298,3
1679762077841,2
1679792675128,2
1679794749906,2
1679798437495,3
1679800258943,3
1679804914956,2
1679807045671,4
1679808877618,2
1679815927949,2
1679818362637,1
1679820950690,4
1679824315741,2
1679828260814,2
1679833491597,1
1679835437145,2
1679839376023,2
1679844806937,2
1679870565289,5
1679874782644,2
1679877219500,3
1679880529615,2
1679884081529,1
1679888628435,4
1679896387346,2
1679899598619,4
1679905073392,2
1679907443820,4
1679910981732,5
1679913128165,3
1679916207105,4
1679931652329,2
1679934809580,1
1679937309026,3
1679943794090,1
1679961322375,5
1679972724277,5
1679975160096,2
1679977053196,5
1679979937292,2
1679985656802,4
1679989830125,2
1679992347309,1
1679996071820,1
1680001575839,4
1680007073989,5
1680009849724,1
1680011955895,2
1680014232301,4
1680018562175,1
1680021142358,2
1680047059578,5
1680050099696,2
1680052020270,1
1680053927848,2
1680056067004,1
1680057933728,4
1680061848604,1
1680064974691,1
1680067674864,1
1680069684097,2
1680072276836,4
1680074159965,1
1680077686621,1
1680084518541,1
1680087300189,2
1680091090701,1
1680093743095,1
1680096711376,2
1680104644531,1
1680136275092,5
1680139040507,2
1680142950420,4
1680145622767,1
1680147819606,1
1680150861727,1
1680154192493,2
1680156097243,1
1680158298875,1
1680161924359,4
1680168154091,1
1680170100978,1
1680171958031,1
1680174030175,5
1680175910618,5
1680178007194,5
