timestamp,stress
1679454068041,2
1679456379550,1
1679458918291,4
1679461044651,4
1679464122174,4
1679465943048,2
1679468334919,1
1679472755470,2
1679477174181,1
1679479075867,1
1679481351812,1
1679485998062,1
1679492411249,1
1679499239124,1
1679526918728,3
1679530581138,2
1679535172204,1
1679537093242,1
1679540131159,2
1679543171982,1
1679551543934,1
1679554031409,1
1679557336126,1
1679560293786,3
1679588821735,3
1679591113096,1
1679594447544,4
1679619172830,2
1679621673977,1
1679623585777,1
1679628745435,1
1679632232865,3
1679635247173,1
1679637969654,3
1679642571165,1
1679644416437,2
1679650670017,1
1679655189314,1
1679658322971,1
1679660327891,1
1679665809251,1
1679671503021,2
1679698240108,3
1679700415802,2
1679710080265,1
1679715717546,1
1679717924117,1
1679720370781,2
1679723007877,1
1679730801388,3
1679733551762,2
1679741566670,1
1679748450766,1
1679750644083,3
1679753238782,4
1679756175347,5
1679758798723,5
1679787870911,3
1679792965191,1
1679796421446,1
1679801741393,1
1679806058365,1
1679808492208,1
1679812732333,3
1679820156079,3
1679824717390,2
1679829381198,4
1679833311339,1
1679836645087,3
1679847264959,3
1679851456245,2
1679875705673,3
1679881739364,1
1679884821671,1
1679888641902,1
1679896420571,1
1679902586597,1
1679909636871,1
1679913059470,2
1679917378823,1
1679919188176,1
1679927413716,1
1679929258998,2
1679936971052,4
1679957974952,3
1679961408559,2
1679966672838,4
1679981442522,1
1679984132051,1
1679986075747,2
1679991319603,1
1679997094520,1
1680000547179,1
1680008748130,1
1680015521238,1
1680017890685,3
1680022135887,5
1680044893810,3
1680049754888,3
1680051681279,3
1680057345202,3
1680061455813,1
1680065955424,1
1680069669757,2
1680072723990,1
1680076840711,1
1680080202065,1
1680082476629,1
1680087754047,2
1680090732616,1
1680094631344,1
1680131211839,2
1680133795771,4
1680137032144,2
1680142443825,1
1680153300961,2
1680160169476,1
1680162504909,4
1680165443438,1
1680184419209,1
1680222100380,4
1680226819265,2
1680229364481,1
1680246071343,1
1680304350480,5
1680308999531,5
1680311286573,4
1680319365897,2
1680329098997,2
1680342808385,1
1680347700788,1
1680361027194,1
1680395560295,5
1680398356801,2
1680400654829,1
1680403575396,2
1680417312457,1
1680420813417,1
1680422683985,4
1680425555998,4
1680440282440,5
1680442350369,4
1680445979278,1
1680448770538,5
1680474956754,4
1680477583744,4
1680480096029,4
1680488605348,1
1680491446809,1
1680494010424,4
1680497965534,4
1680519824570,1
1680523713724,1
1680527603857,1
1680532937339,5
1680537528036,5
1680540079139,4
1680568129828,2
1680571523518,1
1680573794678,2
1680590733792,5
1680599836776,4
1680602351178,5
1680612248369,4
1680616388535,1
1680619537661,1
1680650986324,4
1680653726885,5
1680663307205,1
1680666509028,1
1680668788284,1
1680682550784,1
1680684446791,2
1680687227762,4
1680691709341,1
1680707375773,1
1680714364788,4
1680723186701,5
1680725508782,4
1680764281781,1
1680766737455,2
1680777094328,5
1680787276594,1
1680794652553,1
1680833272118,1
1680839439006,2
1680845488324,2
1680851945629,1
1680863181499,1
1680866287449,1
1680871457016,1
1680881426917,2
1680886657744,1
1680915617558,2
1680918617262,1
1680920941040,1
1680926422415,2
1680929961805,1
1680932506841,1
1680938347053,3
1680947987846,1
1680951622793,1
1680962000306,1
1680964055847,1
1680967491608,1
1680999441741,1
1681005629351,1
1681008666144,1
1681011781495,1
1681017724965,2
1681019987974,4
1681022071379,4
1681024655291,1
1681029566494,2
1681031905133,4
1681034886661,1
1681038996921,1
1681042125176,1
1681044224818,4
1681053388406,1
1681056406882,2
1681081218216,1
1681083893105,1
1681090079858,1
1681092262071,1
1681097129918,1
1681101185379,1
1681105044848,1
1681107223788,4
1681118501893,2
1681126015273,1
1681130433675,2
1681136484758,1
1681143615730,1
1681169541665,4
1681173509813,2
1681175345892,1
1681183271009,1
1681185842522,1
1681188674926,1
1681190929198,1
1681193320111,2
1681197477942,1
1681201360984,1
1681221574126,1
1681227194040,1
1681235230601,1
1681262241685,1
1681266194030,1
1681272941558,1
1681277209854,1
1681282171314,1
1681285063080,1
1681295149935,1
1681301532656,1
1681312037629,1
1681339455665,1
1681347653518,4
1681352727866,1
1681358828574,1
1681365497703,1
1681383989764,1
1681386848743,2
1681396806885,1
1681400172788,4
1681435953330,4
1681438637186,1
1681449500376,1
1681452816397,1
1681456620236,4
1681466464742,1
1681469317327,4
1681475077295,1
1681480869288,1
1681482844475,1
1681485304505,2
1681517184102,4
1681522597262,1
1681528791472,1
1681537085576,1
1681539784392,1
1681542307007,1
1681549794812,1
1681560822430,1
1681569557812,1
1681575667577,2
1681600038752,4
1681604237947,2
1681608200051,1
1681613616848,1
1681617542188,1
1681624984073,2
1681636711842,1
1681640517620,1
1681642716223,4
1681644779256,1
1681651166625,4
1681654719797,2
1681682506307,5
1681685498656,1
1681693699465,1
1681704013381,1
1681706217031,4
1681709043753,5
1681711812629,1
1681713861736,5
1681717276458,1
1681738431044,5
1681749432291,1
1681789535655,1
1681794874956,2
1681799239991,1
1681801144538,1
1681803124265,1
1681807172845,1
1681810917591,4
1681823189721,2
1681825511219,1
1681828119753,1
1681858825167,2
1681861797909,3
1681864230210,1
1681867435663,1
1681872873461,1
1681889561261,1
1681916490081,1
1681918940961,1
1681922216886,3
1681961153548,4
1681963382023,1
1681970749101,1
1681975661878,1
1681993001904,1
1681999449001,2
1682001768161,1
1682028595097,4
1682034325958,1
1682041355806,1
1682046768681,1
1682048968046,1
1682052755301,1
1682057252578,4
1682074671022,4
1682079601001,1
1682083805742,1
1682085937774,1
1682095261384,1
1682097473871,4
1682125984243,1
1682128397622,2
1682130824426,4
1682133684380,1
1682136411747,1
1682153519776,1
1682156204403,2
1682166280040,1
1682179789667,3
1682187240686,5
1682206893215,1
1682212314248,2
1682218340052,2
1682221810288,1
1682239818727,1
1682245785627,1
1682249199337,4
1682255880109,5
1682261572209,1
1682289406326,1
1682292650013,1
1682298291834,4
1682301758701,1
1682306862125,1
1682312154964,2
1682315898792,1
1682318290505,1
1682331056809,1
1682334463261,1
1682339096967,4
1682347754864,4
1682373592077,1
1682380244386,1
1682385877461,4
1682388113214,2
1682393855573,2
1682398070453,1
1682400111266,3
1682404475619,4
1682422628643,1
1682437722254,4
1682465367538,4
1682470783087,1
1682474765601,2
1682480200424,1
1682486163130,4
1682497620219,1
1682500455124,1
1682505214523,4
1682509026234,5
1682511957669,1
1682517644049,1
1682520697955,4
1682544989587,4
1682555124099,4
1682560640451,1
1682562679095,1
1682581400325,2
1682583225295,1
1682585259842,1
1682589351513,1
1682606422532,1
1682613925995,4
1682633435450,4
1682638378566,4
1682646415975,4
1682651110208,1
1682654927177,1
1682658528082,1
1682663551465,4
1682670979172,2
1682674361546,4
1682695781214,1
1682699847529,1
1682726613072,5
1682732030262,1
1682734753439,2
1682738851552,4
1682750629746,4
1682820261643,4
1682824734338,1
1682835326446,4
1682840140484,4
1682845713297,5
1682859596017,1
1682865100185,1
1682867725858,2
1682885511335,5
1682888604005,1
1682898116383,4
1682905303679,4
1682909496125,1
1682916376214,4
1682927309186,1
1682938685312,1
1682941133120,4
1682946507907,1
1682949165674,1
1682953151165,1
1682984826833,4
1682990339624,1
1682992590097,2
1682997010462,2
1683002755945,1
1683008760943,4
1683012139581,1
1683015465669,1
1683017487122,1
1683025868172,4
1683033885619,1
1683036253797,4
1683070944552,4
1683078830211,1
1683080778699,3
1683082624737,4
1683089558025,5
1683093236368,1
1683100324923,4
1683109349907,1
1683116467966,5
