timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680903454559,100.0,,,,,,,
1680904083238,100.0,,,,,,,
1680909240131,100.0,,,,,,,
1680909240142,100.0,,,,,,,
1680909240144,100.0,,,,,,,
1680909240146,100.0,,,,,,,
1680909240921,100.0,,,,,,,
1680909241052,100.0,,,,,,,
1680909259932,100.0,,,,,,,
1680911670104,100.0,,,,,,,
1680870966681,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680870983835,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871000980,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871018145,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871035160,,,,,,,,100.0
1680871035179,2.0,2.0,2.0,11.0,83.0,83.0,,
1680871052338,,,,,,,,100.0
1680871052455,1.0,2.0,,1.0,96.0,96.0,,
1680871076341,1.0,1.0,1.0,1.0,96.0,96.0,,
1680871093334,,2.0,1.0,1.0,96.0,96.0,,
1680871110294,,2.0,,1.0,97.0,97.0,,
1680871127295,1.0,2.0,1.0,1.0,95.0,95.0,,
1680871150864,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871167881,,,,,,,,100.0
1680871167902,71.0,3.0,5.0,5.0,14.0,14.0,,
1680871184876,99.0,1.0,,,,,,
1680871201866,99.0,1.0,,,,,,
1680871218859,99.0,1.0,,,,,,
1680871235832,99.0,1.0,,,,,,
1680871252806,99.0,1.0,,,,,,
1680871281053,59.0,2.0,4.0,6.0,28.0,28.0,,
1680871298081,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871315038,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871332029,37.0,1.0,12.0,8.0,34.0,34.0,,
1680871354986,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871373181,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871393337,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871410363,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871427360,63.0,1.0,2.0,7.0,25.0,25.0,,
1680871444339,,,,,,,,100.0
1680871444363,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871461333,99.0,1.0,,,,,,
1680871478325,99.0,1.0,,,,,,
1680871495306,99.0,1.0,,,,,,
1680871512289,99.0,1.0,,,,,,
1680871529263,99.0,1.0,,,,,,
1680871546230,99.0,1.0,,,,,,
1680871568129,96.0,1.0,1.0,,2.0,2.0,,
1680871585107,,,,,,,,100.0
1680871585139,96.0,2.0,1.0,,1.0,1.0,,
1680871602139,99.0,1.0,,,,,,
1680871619122,99.0,1.0,,,,,,
1680871636138,99.0,1.0,,,,,,
1680871653139,99.0,1.0,,,,,,
1680871670102,,,,,,,,100.0
1680871670117,83.0,2.0,8.0,,4.0,4.0,,
1680871693195,81.0,1.0,6.0,4.0,7.0,7.0,,
1680871710149,96.0,1.0,1.0,1.0,1.0,1.0,,
1680871727081,96.0,1.0,2.0,,1.0,1.0,,
1680871744025,98.0,1.0,,,1.0,1.0,,
1680871761012,99.0,1.0,,,,,,
1680871778001,,,,,,,,100.0
1680871778022,76.0,1.0,11.0,3.0,5.0,5.0,,
1680871795002,,,,,,,,100.0
1680871795020,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871811992,,,,,,,,100.0
1680871812023,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871829011,,,,,,,,100.0
1680871829032,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871846006,,,,,,,,100.0
1680871846023,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871867704,99.0,1.0,,,,,,
1680871884697,99.0,1.0,,,,,,
1680871901666,,,,,,,,100.0
1680871901680,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871918666,,,,,,,,100.0
1680871918696,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680871938031,96.0,1.0,1.0,,1.0,1.0,,
1680871955032,60.0,3.0,23.0,,10.0,10.0,,
1680871971988,92.0,1.0,1.0,1.0,5.0,5.0,,
1680871988960,56.0,3.0,7.0,5.0,25.0,25.0,,
1680872005936,96.0,2.0,1.0,,1.0,1.0,,
1680872022926,,,,,,,,100.0
1680872022958,95.0,1.0,1.0,,2.0,2.0,,
1680872039943,,,,,,,,100.0
1680872039971,98.0,2.0,,,,,,
1680872056948,97.0,2.0,,,1.0,1.0,,
1680872073939,83.0,1.0,5.0,2.0,6.0,6.0,,
1680872090915,99.0,1.0,,,,,,
1680872112576,99.0,1.0,,,,,,
1680872129571,99.0,1.0,,,,,,
1680872146551,99.0,1.0,,,,,,
1680872163547,90.0,1.0,4.0,,2.0,2.0,,
1680872180499,49.0,2.0,20.0,2.0,17.0,17.0,,
1680872197502,82.0,2.0,1.0,4.0,10.0,10.0,,
1680872214497,82.0,1.0,3.0,3.0,9.0,9.0,,
1680872231465,99.0,1.0,,,,,,
1680872248446,99.0,1.0,,,,,,
1680872265405,99.0,1.0,,,,,,
1680872282392,79.0,1.0,12.0,,1.0,1.0,,
1680872300967,99.0,1.0,,,,,,
1680872317981,99.0,1.0,,,,,,
1680872334985,99.0,1.0,,,,,,
1680872351942,99.0,1.0,,,,,,
1680872368897,97.0,1.0,1.0,,,,,
1680872385851,,,,,,,,100.0
1680872385868,85.0,1.0,6.0,2.0,4.0,4.0,,
1680872402895,52.0,3.0,11.0,3.0,25.0,25.0,,
1680872419903,47.0,2.0,11.0,7.0,30.0,30.0,,
1680872437912,56.0,3.0,7.0,6.0,24.0,24.0,,
1680872454039,98.0,1.0,,,1.0,1.0,,
1680863063202,97.0,1.0,2.0,,,,,
1680863080385,85.0,2.0,4.0,1.0,8.0,8.0,,
1680863098214,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863115664,44.0,1.0,6.0,6.0,40.0,40.0,1.0,
1680863132828,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863150007,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863167182,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863184263,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863203250,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863220439,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863237453,,,,,,,,100.0
1680863237485,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863254661,,,,,,,,100.0
1680863254699,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863271887,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863289056,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863307238,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863324424,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863342230,76.0,1.0,1.0,10.0,12.0,12.0,,
1680863368258,94.0,2.0,,2.0,2.0,2.0,,
