timestamp,STILL,IN_VEHICLE,UNDEFINED,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680829894668,44.0,13.0,1.0,,23.0,23.0,7.0,1.0
1680830183789,1.0,1.0,2.0,,92.0,92.0,2.0,2.0
1680830183789,1.0,1.0,2.0,,92.0,92.0,2.0,2.0
1680830200685,2.0,1.0,3.0,,92.0,92.0,1.0,1.0
1680830200685,2.0,1.0,3.0,,92.0,92.0,1.0,1.0
1680830233414,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680830233414,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680830497910,99.0,,1.0,,,,,
1680830497910,99.0,,1.0,,,,,
1680831177578,,,2.0,,98.0,98.0,,
1680831194629,,,3.0,,96.0,96.0,1.0,
1680831326194,54.0,1.0,3.0,,3.0,3.0,38.0,
1680831348201,57.0,7.0,2.0,,8.0,8.0,22.0,1.0
1680831380904,,,,100.0,,,,
1680831380954,44.0,23.0,1.0,,11.0,11.0,2.0,
1680831409877,100.0,,,,,,,
1680831426949,99.0,,1.0,,,,,
1680831448944,100.0,,,,,,,
1680831465941,99.0,,1.0,,,,,
1680831482994,98.0,,2.0,,,,,
1680831526137,,,,100.0,,,,
1680831526190,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680831935696,98.0,,2.0,,,,,
1680831952692,99.0,,1.0,,,,,
1680831969737,98.0,1.0,1.0,,,,,
1680831986953,97.0,1.0,2.0,,,,,
1680832003971,99.0,,1.0,,,,,
1680832020982,96.0,2.0,1.0,,,,,
1680832037975,98.0,1.0,1.0,,,,,
1680832055014,97.0,1.0,1.0,,,,,
1680832072041,78.0,10.0,2.0,,2.0,2.0,2.0,
1680832089026,98.0,1.0,1.0,,,,,
1680832434922,98.0,,2.0,,,,,
1680833153347,98.0,1.0,1.0,,,,,
1680834377326,100.0,,,,,,,
1680835127049,98.0,,1.0,,,,1.0,
1680835520326,100.0,,,,,,,
1680835934003,,,2.0,,98.0,98.0,,
1680835971792,1.0,,2.0,,96.0,96.0,,1.0
1680836022895,,,,100.0,,,,
1680836022926,,,2.0,,98.0,98.0,,
1680836039911,1.0,,2.0,,96.0,96.0,1.0,
1680836072169,,,,100.0,,,,
1680836072223,,,1.0,,98.0,98.0,1.0,
1680836089343,1.0,,1.0,,95.0,95.0,1.0,2.0
1680836106445,1.0,,2.0,,97.0,97.0,,
1680836123522,,,2.0,,98.0,98.0,,
1680836395268,,,2.0,,92.0,92.0,3.0,3.0
1680836412502,1.0,,2.0,,93.0,93.0,2.0,2.0
1680836429725,,,,100.0,,,,
1680836429789,2.0,1.0,1.0,,93.0,93.0,2.0,1.0
1680856840508,,,,100.0,,,,
1680856840509,97.0,1.0,2.0,,,,,
1680856998880,,,,100.0,,,,
1680856998973,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680857053462,,,,100.0,,,,
1680857053515,2.0,1.0,2.0,,89.0,89.0,3.0,3.0
1680857083125,5.0,1.0,2.0,,90.0,90.0,1.0,1.0
1680857120272,,,,100.0,,,,
1680857120339,1.0,1.0,2.0,,94.0,94.0,1.0,1.0
1680857860299,,,,100.0,,,,
1680857860414,1.0,1.0,2.0,,94.0,94.0,1.0,1.0
1680857888960,,,,100.0,,,,
1680857889050,99.0,,1.0,,,,,
1680857906067,,,,100.0,,,,
1680857906093,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680857934329,100.0,,,,,,,
1680857951317,72.0,14.0,2.0,,6.0,6.0,1.0,
1680857968360,100.0,,,,,,,
1680857983184,100.0,,,,,,,
1680858432114,99.0,,1.0,,,,,
1680858760274,54.0,10.0,2.0,,19.0,19.0,7.0,
1680858777431,,,,100.0,,,,
1680858777469,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680858794429,,,,100.0,,,,
1680858794459,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680858816381,94.0,2.0,1.0,,1.0,1.0,2.0,
1680858833370,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680858850568,68.0,22.0,2.0,,5.0,5.0,2.0,
1680858867740,70.0,7.0,2.0,,14.0,14.0,7.0,
1680858884945,51.0,10.0,1.0,,24.0,24.0,9.0,1.0
1680858918834,98.0,1.0,1.0,,,,,
1680858935651,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680859171048,97.0,1.0,2.0,,,,,
1680860785352,96.0,2.0,,,1.0,1.0,,
1680860802544,96.0,1.0,2.0,,1.0,1.0,,
1680860943851,97.0,1.0,1.0,,,,,
1680861599629,60.0,20.0,1.0,,7.0,7.0,3.0,
1680861858612,,,,100.0,,,,
1680861858642,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680861897231,,,,100.0,,,,
1680861897256,1.0,1.0,2.0,,94.0,94.0,1.0,1.0
1680861962874,,,,100.0,,,,
1680861962914,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680861980905,1.0,,2.0,,96.0,96.0,,1.0
1680862039720,27.0,25.0,2.0,,22.0,22.0,4.0,1.0
1680862056005,1.0,,2.0,,95.0,95.0,1.0,1.0
1680862073229,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
