timestamp,stress
1679481406586,3
1679487065395,2
1679497501385,2
1679499922740,4
1679524143679,1
1679528130982,3
1679530118887,3
1679532506882,2
1679535177965,2
1679537113912,3
1679539923240,1
1679542427800,1
1679545597601,2
1679548340559,2
1679551250753,3
1679555064800,2
1679558250871,1
1679561304245,1
1679566829504,2
1679575452054,5
1679578205447,4
1679583993942,2
1679608979006,1
1679612642697,1
1679615896930,3
1679619563405,2
1679621655790,2
1679624048780,3
1679627351291,1
1679630247088,2
1679637200573,1
1679640087578,1
1679642629559,1
1679648232798,1
1679652646709,1
1679657254215,3
1679670860892,2
1679697486199,2
1679700178466,1
1679705786384,3
1679708260360,1
1679712865620,1
1679714891168,2
1679718189590,1
1679723610991,1
1679725741915,2
1679727650250,1
1679729887537,2
1679731884690,1
1679734023266,1
1679736379274,1
1679743881855,1
1679753465331,2
1679785246087,1
1679787596967,1
1679791262223,2
1679793087801,3
1679795438263,3
1679797398071,4
1679801839155,1
1679803674610,1
1679805695351,1
1679808560143,3
1679810666324,3
1679812691006,4
1679815886068,4
1679817943894,1
1679820023250,1
1679826045224,1
1679831047690,2
1679832884755,2
1679843227402,1
1679866593640,1
1679869562532,1
1679871629329,1
1679873593699,2
1679877259668,3
1679879341155,3
1679882692393,4
1679885174161,1
1679888009185,1
1679890013662,3
1679892719845,4
1679896886143,3
1679899806700,1
1679902051882,4
1679905535292,4
1679929316814,2
1679931789993,3
1679952961893,1
1679956535733,1
1679959512202,2
1679961504520,3
1679964637274,4
1679971645554,2
1679976178179,1
1679978574313,3
1679980997899,2
1679983939009,3
1679985945586,4
1679988294103,3
1679990155327,3
1679992161762,2
1679994778668,1
1679997433081,1
1680001136997,2
1680007271290,3
1680016384586,4
1680018500258,4
1680042016867,2
1680044559859,4
1680046707008,3
1680049250051,3
1680051366860,3
1680053219080,4
1680055637164,3
1680061600841,2
1680063872176,4
1680065773023,3
1680071769264,2
1680076673326,2
1680078483605,3
1680083318385,2
1680089235719,2
1680104736052,2
1680125793357,1
1680128890506,1
1680133535256,2
1680135939864,2
1680138096402,2
1680140567196,3
1680143615852,4
1680145468531,2
1680149220203,2
1680151789968,4
1680154389565,4
1680156440581,4
1680158265008,4
1680166786593,4
1680172965323,2
1680178724159,2
1680217071686,1
1680219617772,2
1680221601093,2
1680223614380,2
1680226131751,4
1680229113618,4
1680234637373,1
1680239240071,1
1680241938062,1
1680245416907,2
1680250827794,1
1680253385843,1
1680257294005,2
1680261566812,4
1680266426812,1
1680269533478,4
1680272157224,4
1680274949415,2
1680301141867,1
1680304984017,2
1680307269071,4
1680310835247,4
1680314305439,4
1680316202262,2
1680320717453,1
1680322711244,1
1680324721480,1
1680330444317,2
1680333064592,1
1680338072166,2
1680343769200,2
1680347553165,1
1680350977616,1
1680357107414,2
1680386773459,1
1680390015555,4
1680392036685,3
1680394699878,4
1680397226791,2
1680399043998,2
1680401305626,2
1680403880686,4
1680407110118,2
1680411277980,1
1680413699296,1
1680420013884,2
1680422085760,2
1680427199927,2
1680429499860,2
1680432935387,2
1680448624251,2
1680451050375,2
1680471566659,2
1680474872230,1
1680478126795,2
1680480216230,4
1680482815688,4
1680484683267,4
1680486718940,4
1680490128370,2
1680494160734,2
1680497349462,5
1680499306782,2
1680504618150,2
1680507469880,2
1680510171912,2
1680513302496,2
1680525031552,4
1680534414694,4
1680560437956,2
1680563877048,5
1680566941780,4
1680569664510,2
1680571666124,4
1680576198321,3
1680580796673,4
1680583409449,4
1680585795998,2
1680589170943,4
1680591569470,2
1680593441160,2
1680602446380,1
1680606374480,2
1680611849918,4
1680620947933,4
1680623285594,4
1680625472826,2
1680647423245,2
1680650269229,4
1680652221208,4
1680656674654,4
1680658618686,4
1680662304833,2
1680666855060,2
1680669824694,4
1680672059188,4
1680675418906,4
1680678128293,2
1680681722124,4
1680685678439,2
1680688822645,2
1680701410247,4
1680706820060,4
1680709558199,2
1680735468957,2
1680738601935,4
1680743379267,4
1680748272834,4
1680750208697,2
1680752214983,2
1680754344766,5
1680757157292,4
1680759575704,4
1680761486354,4
1680763873389,1
1680766042912,2
1680768341950,1
1680771050170,1
1680773589064,2
1680782896829,4
1680789545330,2
1680797323142,2
1680799555310,1
1680820741297,2
1680823098713,2
1680825125970,4
1680828030180,4
1680830219916,2
1680835351797,4
1680839085229,1
1680840920787,1
1680845809605,4
1680849038025,4
1680853476557,5
1680856843761,4
1680860793671,1
1680863049023,4
1680866310445,4
1680870613787,2
1680879708383,4
1680882055045,4
1680886706196,4
1680907904439,2
1680910942593,4
1680912762614,4
1680915540415,4
1680917682506,4
1680920206785,5
1680922352023,2
1680926113199,4
1680929065460,2
1680934754726,4
1680938423867,4
1680941620512,4
1680950831846,2
1680953904119,2
1680967152120,2
1680992237189,2
1680996472946,4
1681000795056,4
1681002629996,5
1681004453543,5
1681008076513,4
1681010039936,2
1681012408755,2
1681015825732,2
1681017961085,4
1681023446620,4
1681026628480,4
1681029485614,4
1681031762067,2
1681034885974,2
1681041436019,5
1681047194662,5
1681052503604,5
1681054321413,4
1681078074708,4
1681080807539,5
1681084426960,4
1681087100964,5
1681089046438,5
1681091302129,5
1681093730222,4
1681096884975,4
1681099098455,5
1681101418299,5
1681103232684,5
1681105275715,5
1681107561312,5
1681113492354,5
1681116840553,2
1681129822170,4
1681138842243,4
1681140988044,4
1681143684442,4
1681166847942,4
1681169626875,4
1681172387558,4
1681174764020,4
1681178134790,4
1681180760681,4
1681185119045,2
1681187490604,4
1681190367325,4
1681192860422,4
1681194764866,4
1681197389032,3
1681199654304,4
1681203495305,2
1681212677730,4
1681218432195,2
1681225238175,4
1681227837803,4
1681229685089,4
1681252616520,4
1681255013396,5
1681257059608,4
1681262306008,4
1681266620739,4
1681270258390,2
1681273322109,5
1681275132820,5
1681278819258,2
1681282524999,4
1681287914693,4
1681296708973,5
1681301768362,4
1681305240699,4
1681314325937,5
1681318939819,4
1681340479124,4
1681343962183,4
1681346334696,5
1681348187197,4
1681350273706,4
1681352947900,5
1681356435079,4
1681359086899,4
1681362024852,4
1681365521048,5
1681367613140,4
1681369676702,4
1681372119556,4
1681373985671,4
1681375848075,4
1681379550719,5
1681387035662,4
1681398136731,5
1681399966197,5
1681402312628,5
1681426810543,4
1681428621255,5
1681431940321,4
1681437587764,4
1681440447663,4
1681442428452,4
1681445230370,2
1681450515194,4
1681453172503,5
1681456046602,5
1681458358377,2
1681461616734,4
1681464655366,4
1681478421354,4
1681484543427,5
1681487571933,3
1681489894316,4
1681491973718,4
1681514595897,4
1681516612847,4
1681519636504,4
1681521620410,5
1681523834073,4
1681529402804,3
1681533015223,4
1681540291554,4
1681542675709,4
1681547562349,4
1681549559369,4
1681561950945,4
1681571035564,5
1681572850806,4
1681599638250,4
1681603856015,5
1681606277251,4
1681608626564,5
1681612886722,4
1681614842720,2
1681617995425,4
1681621226909,4
1681625086553,4
1681630036692,4
1681631883975,4
1681633913827,4
1681635951913,4
1681644070615,4
1681659123339,4
1681686089352,4
1681690738684,4
1681693043851,5
1681695331170,5
1681697151461,5
1681700931749,5
1681702892091,5
1681712482073,5
1681714438555,5
1681719451792,5
1681724264754,5
1681726924192,5
1681728959788,5
1681732076553,4
1681743688995,4
1681771954650,4
1681774479589,5
1681777503549,4
1681779435955,4
1681781306188,5
1681784314663,4
1681786151451,4
1681789083112,4
1681791888047,5
1681795630396,5
1681798294054,4
1681800645033,5
1681802998890,4
1681806310041,4
1681810820376,2
1681814122846,4
1681825834474,5
1681831051368,4
1681856660167,4
1681859514023,5
1681863767288,5
1681865762578,5
1681873353325,5
1681875163508,3
1681878806925,2
1681881847413,2
1681884214559,4
1681890158948,4
1681893667903,4
1681895536125,4
1681898037453,4
1681900155604,4
1681906551605,4
1681916427195,4
1681943600632,4
1681947944295,4
1681949881776,4
1681952934237,4
1681955471669,4
1681958874989,4
1681960866403,4
1681962717355,5
1681974323108,2
1681976209621,2
1681978021205,2
1681979960965,1
1681982519564,2
1681985094747,2
1681990999355,2
1682002892848,2
1682006050495,2
1682029974065,1
1682032057039,2
1682033950074,1
1682036490808,2
1682039423665,2
1682042416786,2
1682044742131,2
1682046733313,2
1682049443672,2
1682051780921,4
1682058139031,2
1682059994576,1
1682062532020,1
1682068557162,1
1682072986783,1
1682079990932,1
1682089262763,1
1682118234902,1
1682123879817,1
1682125738816,1
1682129206640,1
1682133518687,1
1682136033674,1
1682141010802,1
1682144144909,1
1682146362412,1
1682148716461,1
1682151785490,4
1682154207719,4
1682157112134,4
1682159570094,4
1682175792381,1
1682204496101,1
1682206531063,1
1682208545494,1
1682210875516,1
1682213054296,1
1682217405738,1
1682220084733,1
1682222623776,1
1682225413152,1
1682228183152,1
1682230830069,1
1682232834379,2
1682236965764,1
1682241103298,2
1682249774944,3
1682262389496,2
1682264619851,4
1682288618893,2
1682290745144,2
1682294521069,2
1682297686131,2
1682300624060,2
1682303459775,2
1682306291515,1
1682308645676,2
1682310725864,1
1682313732773,2
1682317013623,2
1682318938614,2
1682320773835,2
1682323026443,2
1682325768320,2
1682348434649,2
1682350843095,1
1682353277657,1
1682375127850,1
1682377494458,2
1682379906025,3
1682382069275,2
1682385402011,2
1682388978445,2
1682394313254,1
1682397003076,2
1682399867172,1
1682401962335,4
1682405013815,3
1682408815214,2
1682411491645,3
1682417254915,4
1682421183608,2
1682426514322,2
1682430389080,2
1682434949519,2
1682437224864,4
1682458753089,2
1682461233749,3
1682463050596,2
1682466019098,2
1682468299705,4
1682471992447,2
1682474496141,4
1682476471437,4
1682481208011,2
1682483111052,4
1682486681842,4
