timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680888595474,100.0,,,,,,,
1680888595565,,100.0,,,,,,
1680896147694,,100.0,,,,,,
1680896235678,,100.0,,,,,,
1680911151930,,100.0,,,,,,
1680874026091,100.0,,,,,,,
1680874026110,,50.0,22.0,8.0,8.0,3.0,2.0,
1680874043092,,97.0,1.0,,,,2.0,
1680836820743,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836838000,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836855300,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836872599,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836890490,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836907641,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836924851,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836942118,,100.0,,,,,,
1680836959700,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836976828,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680836995430,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837013468,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837030614,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837048943,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837066470,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837084313,,46.0,6.0,38.0,38.0,5.0,2.0,1.0
1680837124875,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837158499,,1.0,,92.0,92.0,3.0,3.0,1.0
1680837197214,100.0,,,,,,,
1680837197333,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837214525,,58.0,15.0,6.0,6.0,8.0,2.0,
1680837231664,,69.0,18.0,2.0,2.0,3.0,2.0,
1680837249280,,78.0,13.0,2.0,2.0,4.0,1.0,
1680837267428,,82.0,8.0,1.0,1.0,2.0,2.0,
1680837291477,,60.0,15.0,5.0,5.0,9.0,2.0,
1680837309352,,46.0,27.0,6.0,6.0,14.0,3.0,
1680837326501,,64.0,17.0,3.0,3.0,5.0,3.0,
1680837343563,,100.0,,,,,,
1680837360698,,68.0,14.0,2.0,2.0,9.0,2.0,
1680837377799,,98.0,1.0,,,,,
1680837394914,,90.0,4.0,,,1.0,2.0,
1680837412183,,65.0,16.0,4.0,4.0,4.0,2.0,
1680837430461,,90.0,3.0,1.0,1.0,1.0,2.0,
1680837447566,,96.0,2.0,,,,1.0,
1680837464854,,96.0,2.0,,,,2.0,
1680837483782,,97.0,1.0,,,,2.0,
1680837500668,,60.0,29.0,1.0,1.0,,2.0,
1680837517783,,97.0,1.0,,,,2.0,
1680837535504,,97.0,1.0,,,,2.0,
1680837553466,,79.0,7.0,2.0,2.0,3.0,3.0,
1680837570570,,97.0,1.0,,,,1.0,
1680837588469,,76.0,10.0,2.0,2.0,1.0,2.0,
1680837605564,,100.0,,,,,,
1680837622729,,76.0,14.0,1.0,1.0,1.0,2.0,
1680837639891,,97.0,,,,,3.0,
1680837657034,,96.0,2.0,,,,1.0,
1680837674224,,97.0,1.0,,,,1.0,
1680837691491,,96.0,2.0,,,,1.0,
1680837709335,,71.0,17.0,2.0,2.0,1.0,2.0,
1680837743513,,48.0,27.0,8.0,8.0,2.0,2.0,
1680837760663,,97.0,1.0,,,,2.0,
1680838817421,100.0,,,,,,,
1680838817524,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838834832,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838852079,,10.0,1.0,84.0,84.0,2.0,1.0,2.0
1680838869361,,53.0,7.0,33.0,33.0,2.0,2.0,
1680838886642,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838904620,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838922488,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838944844,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838963457,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838978903,,69.0,13.0,14.0,14.0,1.0,2.0,
1680838996327,,63.0,19.0,14.0,14.0,1.0,2.0,
1680839013794,,42.0,14.0,34.0,34.0,3.0,2.0,1.0
1680839031019,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680839048378,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680839072558,,,98.0,,,,1.0,
1680839089823,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680839106935,,2.0,88.0,,,,1.0,
