timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680892019853,100.0,,,,,,,
1680892019925,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680892192774,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680892230120,,2.0,9.0,3.0,11.0,11.0,,69.0
1680893458612,100.0,,,,,,,
1680893458623,,,,,,,,100.0
1680893482802,,1.0,,,,,,99.0
1680897083696,100.0,,,,,,,
1680897083729,,,,,,,,100.0
1680898546434,100.0,,,,,,,
1680898546514,,1.0,23.0,2.0,11.0,11.0,,44.0
1680898852101,100.0,,,,,,,
1680898852229,,,,,,,,100.0
1680905498272,,,,,,,,100.0
1680905498486,,,,,,,,100.0
1680905499388,,,,,,,,100.0
1680871151814,,2.0,9.0,68.0,16.0,16.0,1.0,2.0
1680871204796,100.0,,,,,,,
1680871204822,,,,,,,,100.0
1680871221819,,1.0,,,1.0,1.0,,98.0
1680871238863,,2.0,,8.0,11.0,11.0,,79.0
1680871255888,,3.0,1.0,8.0,37.0,37.0,,51.0
1680871272888,,1.0,1.0,4.0,19.0,19.0,,75.0
1680871289930,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680871306937,,,,,1.0,1.0,,99.0
1680871324421,,2.0,,,,,,98.0
1680871341406,,2.0,,,1.0,1.0,,97.0
1680871358460,,1.0,,1.0,1.0,1.0,,97.0
1680871375476,,2.0,,,,,,98.0
1680871392443,,,,,1.0,1.0,,99.0
1680871409440,,1.0,,,,,,99.0
1680871426435,,1.0,,,,,,99.0
1680871443424,,1.0,,,,,,99.0
1680871460419,,2.0,,,,,,98.0
1680871477431,,1.0,,,,,,99.0
1680871494409,,1.0,,1.0,2.0,2.0,,96.0
1680871507346,,1.0,,,1.0,1.0,,98.0
1680871524340,,,1.0,,1.0,1.0,,97.0
1680871541361,,2.0,,,2.0,2.0,,96.0
1680871558366,,1.0,,,3.0,3.0,,96.0
1680871575362,,1.0,,,1.0,1.0,,98.0
1680871592339,,1.0,1.0,,1.0,1.0,,97.0
1680871609301,,1.0,,,,,,99.0
1680871626297,,1.0,,,,,,99.0
1680871643283,,1.0,,,,,,99.0
1680872779198,100.0,,,,,,,
1680872779239,,2.0,1.0,,,,,97.0
