timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680888795320,100.0,,,,,,,
1680888795359,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680888812733,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680888829950,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680888847116,100.0,,,,,,,
1680888847149,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680888864105,,2.0,,,2.0,2.0,,96.0
1680888881090,,1.0,,1.0,2.0,2.0,,96.0
1680888898027,,1.0,,1.0,1.0,1.0,,97.0
1680888914967,,1.0,,,1.0,1.0,,98.0
1680888931954,,2.0,,,1.0,1.0,,97.0
1680888948920,,1.0,1.0,1.0,1.0,1.0,,96.0
1680888965919,,3.0,,,1.0,1.0,,96.0
1680888982848,,2.0,,,,,,98.0
1680888999803,,2.0,,,,,,98.0
1680889016766,,1.0,,1.0,1.0,1.0,,97.0
1680889033633,,2.0,,,,,,98.0
1680889050618,,2.0,,1.0,1.0,1.0,,96.0
1680889067696,,2.0,,,,,,98.0
1680889085796,,1.0,,,,,,99.0
1680889104784,,1.0,,,,,,99.0
1680889122812,,1.0,,,,,,99.0
1680889140794,,1.0,,,,,,99.0
1680889158792,,1.0,,,,,,99.0
1680889176794,,1.0,,,,,,99.0
1680889194781,,1.0,,,,,,99.0
1680889212805,,1.0,,,,,,99.0
1680889230790,,1.0,,,,,,99.0
1680889248784,,1.0,,,,,,99.0
1680889266819,,1.0,,,,,,99.0
1680889283766,,1.0,,,2.0,2.0,,97.0
1680889300725,,1.0,,,,,,99.0
1680889317693,,1.0,,1.0,1.0,1.0,,97.0
1680889334918,100.0,,,,,,,
1680889334976,,1.0,,,,,,99.0
1680889352153,,,1.0,,,,,99.0
1680870991892,,,,,,,,100.0
1680871748761,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680871777636,,2.0,1.0,1.0,,,,96.0
1680871794698,,1.0,1.0,1.0,1.0,1.0,,96.0
1680871807042,,1.0,,,,,,99.0
1680871823989,,2.0,1.0,,,,,97.0
1680871840976,,2.0,9.0,9.0,20.0,20.0,,52.0
1680871857955,,2.0,,,,,,98.0
1680871874941,,1.0,,,,,,99.0
1680871891927,,1.0,,,,,,99.0
1680871908904,,1.0,,,,,,99.0
1680871925884,,1.0,,,,,,99.0
1680871948665,,1.0,,,,,,99.0
1680871965656,,,2.0,,1.0,1.0,,96.0
1680871982653,,1.0,,,,,,99.0
1680871999648,,1.0,,,,,,99.0
1680872016628,,1.0,,,,,,99.0
1680872033588,,1.0,,,,,,99.0
1680872050534,,1.0,,,,,,99.0
1680872067512,,1.0,,,,,,99.0
1680872084463,,1.0,1.0,,1.0,1.0,,96.0
1680872101453,,1.0,1.0,,1.0,1.0,,96.0
1680872118434,,1.0,,,,,,99.0
1680872131611,,1.0,,,,,,99.0
1680872148602,,1.0,,,,,,99.0
1680872165579,,1.0,,,,,,99.0
1680872182559,,1.0,,,,,,99.0
1680872199542,,1.0,,,,,,99.0
1680872216484,,1.0,,,,,,99.0
1680872233462,,2.0,,1.0,1.0,1.0,,96.0
1680872250418,,2.0,,,1.0,1.0,,97.0
1680872355949,,,,,,,,100.0
1680876992348,100.0,,,,,,,
1680876992393,,2.0,,2.0,90.0,90.0,5.0,1.0
1680877009383,100.0,,,,,,,
1680877009410,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680877026430,,3.0,8.0,13.0,17.0,17.0,,53.0
1680877043444,,1.0,,,,,,99.0
1680877060437,,1.0,,,,,,99.0
1680877077472,,1.0,,,,,,99.0
1680877094447,,1.0,,,,,,99.0
1680877111429,,1.0,,,,,,99.0
1680877128402,,1.0,,,,,,99.0
1680877145422,,1.0,,,,,,99.0
1680877162401,,1.0,,,,,,99.0
1680877179401,,1.0,,,,,,99.0
1680877192332,100.0,,,,,,,
1680877192357,,2.0,1.0,,,,,97.0
1680877209379,100.0,,,,,,,
1680877209401,,1.0,1.0,,1.0,1.0,,97.0
1680877226442,,2.0,1.0,,,,,97.0
1680877243451,,1.0,,,,,,99.0
1680877260471,,1.0,,,,,,99.0
1680877277534,,1.0,,,,,,99.0
1680868993908,,,,,,,,100.0
1680869013878,,,,,,,,100.0
