timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680911789514,,2.0,9.0,4.0,20.0,20.0,,60.0
1680911814778,,1.0,1.0,5.0,14.0,14.0,,79.0
1680911840040,,2.0,,,2.0,2.0,,96.0
1680911865293,,1.0,,,,,,99.0
1680911882252,,1.0,1.0,,2.0,2.0,,96.0
1680911907490,,2.0,,,1.0,1.0,,97.0
1680911924497,,2.0,,,1.0,1.0,,97.0
1680911956901,,2.0,,,2.0,2.0,,96.0
1680911982138,,1.0,,,1.0,1.0,,98.0
1680872130621,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872169864,100.0,,,,,,,
1680872169928,,2.0,,1.0,81.0,16.0,81.0,
1680872187028,,,,,87.0,13.0,87.0,
1680872204164,,,,,86.0,14.0,86.0,
1680872226014,100.0,,,,,,,
1680872226045,,2.0,,,96.0,2.0,96.0,
1680872243210,100.0,,,,,,,
1680872243263,,2.0,,,62.0,36.0,62.0,
1680872261462,100.0,,,,,,,
1680872261528,,,,,97.0,3.0,97.0,
1680872278608,,1.0,,,96.0,3.0,96.0,
1680872295765,,1.0,,,96.0,3.0,96.0,
1680872313097,,,,,97.0,3.0,97.0,
1680872330488,,1.0,,,97.0,2.0,97.0,
1680872347704,,1.0,,,91.0,8.0,91.0,
1680872367087,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872385066,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872390094,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872395101,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872400268,100.0,,,,,,,
1680872400355,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872417399,100.0,,,,,,,
1680872417457,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872435549,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872455041,,1.0,89.0,,,,,
1680872470961,100.0,,,,,,,
1680872471002,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872491546,,2.0,82.0,3.0,2.0,2.0,,3.0
1680872508508,,2.0,91.0,,,,,6.0
1680872525493,,2.0,87.0,,2.0,2.0,,4.0
1680872542302,,2.0,33.0,,18.0,18.0,,43.0
1680872566407,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872583387,,2.0,84.0,,3.0,3.0,,5.0
1680872600379,,1.0,86.0,,1.0,1.0,,6.0
1680872617343,,2.0,96.0,,,,,
1680872634375,,,95.0,,,,,3.0
1680872651355,,2.0,89.0,,,,,8.0
1680872668362,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872685327,,1.0,94.0,,,,,3.0
1680872702330,,,91.0,,,,,1.0
1680872719376,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872741646,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872758613,,1.0,97.0,,,,,1.0
1680872775559,,2.0,96.0,,,,,
1680872792544,,1.0,90.0,,,,,1.0
1680872809516,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872826525,,1.0,93.0,,,,,1.0
1680872843529,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872860536,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872877521,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872894496,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872911468,,1.0,97.0,,,,,1.0
1680872924552,,1.0,94.0,,,,,5.0
1680872941519,,1.0,90.0,,,,,6.0
1680872958486,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680872975450,,1.0,97.0,,,,,1.0
1680872992419,,1.0,96.0,,,,,1.0
1680873009415,,1.0,96.0,,,,,
1680873026384,,1.0,97.0,,,,,1.0
1680873043348,,1.0,97.0,,,,,
1680873060334,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873077315,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873094312,,1.0,96.0,,,,,
1680873107436,,2.0,96.0,,,,,
1680873124425,,1.0,94.0,,,,,
1680873141418,,1.0,90.0,,,,,1.0
1680873158412,,2.0,89.0,,,,,5.0
1680873171593,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873188592,,2.0,92.0,,,,,1.0
1680873205557,,1.0,93.0,,,,,2.0
1680873222541,,1.0,97.0,,,,,1.0
1680873239518,,2.0,88.0,,,,,1.0
1680873256495,,2.0,87.0,,,,,4.0
1680873273478,,1.0,92.0,,,,,2.0
1680873290489,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873307480,,,89.0,,1.0,1.0,,1.0
1680873324444,,2.0,97.0,,,,,1.0
1680873341473,,1.0,91.0,,,,,8.0
1680873358496,,2.0,88.0,,,,,8.0
1680873371605,,2.0,84.0,,1.0,1.0,,10.0
1680873388607,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873405588,,1.0,84.0,,1.0,1.0,,8.0
1680873422580,,1.0,92.0,,,,,7.0
1680873439599,,1.0,97.0,,,,,1.0
1680873453174,100.0,,,,,,,
1680873453286,,1.0,90.0,,,,,7.0
1680873470265,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873487221,,2.0,96.0,,,,,1.0
1680873504187,,1.0,97.0,,,,,2.0
1680873521135,,2.0,97.0,,,,,1.0
1680873538128,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873554524,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873571558,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873588553,,1.0,96.0,,,,,1.0
1680873605526,,1.0,97.0,,1.0,1.0,,1.0
1680873622527,,2.0,96.0,,,,,1.0
1680873639530,,1.0,96.0,,,,,1.0
1680873656484,,2.0,96.0,,,,,1.0
1680873679192,,1.0,97.0,,,,,1.0
1680873696151,,2.0,96.0,,,,,1.0
1680873713174,,,95.0,,1.0,1.0,,2.0
1680873736013,100.0,,,,,,,
1680873736109,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873741279,,2.0,84.0,1.0,1.0,1.0,,8.0
1680873747833,100.0,,,,,,,
1680873747970,100.0,,,,,,,
