timestamp,Type,isEntered
1682474978258,STILL,False
1682474978258,WALKING,True
1682475370347,WALKING,False
1682475370347,STILL,True
1682475423366,STILL,False
1682475423366,WALKING,True
1682475559101,WALKING,False
1682475559101,IN_VEHICLE,True
1682476068106,IN_VEHICLE,False
1682476068106,WALKING,True
1682476339942,WALKING,False
1682476339942,STILL,True
1682477425350,STILL,False
1682477425350,IN_VEHICLE,True
1682477496376,IN_VEHICLE,False
1682477496376,IN_VEHICLE,True
1682477644313,IN_VEHICLE,False
1682477644313,WALKING,True
1682477756277,WALKING,False
1682477756277,STILL,True
1682480070642,STILL,False
1682480070642,WALKING,True
1682480171164,WALKING,False
1682480171164,ON_BICYCLE,True
1682480343576,ON_BICYCLE,False
1682480343576,WALKING,True
1682480464174,WALKING,False
1682480464174,STILL,True
1682484301929,STILL,False
1682484301929,WALKING,True
1682484489242,WALKING,False
1682484489242,STILL,True
1682484668485,STILL,False
1682484668485,WALKING,True
1682484851914,WALKING,False
1682484851914,ON_BICYCLE,True
1682485091924,ON_BICYCLE,False
1682485091924,STILL,True
1682486025230,STILL,False
1682486025230,WALKING,True
1682486076333,WALKING,False
1682486076333,IN_VEHICLE,True
1682486390241,IN_VEHICLE,False
1682486390241,WALKING,True
1682486551246,WALKING,False
1682486551246,STILL,True
1682487004409,STILL,False
1682487004409,WALKING,True
1682487219776,WALKING,False
1682487219776,STILL,True
1682491715619,STILL,False
1682491715619,WALKING,True
1682491922253,WALKING,False
1682491922253,ON_BICYCLE,True
1682492041217,ON_BICYCLE,False
1682492041217,IN_VEHICLE,True
1682493005217,IN_VEHICLE,False
1682493005217,STILL,True
1682499189665,STILL,False
1682499189665,WALKING,True
1682499240765,WALKING,False
1682499240765,ON_BICYCLE,True
1682499349328,ON_BICYCLE,False
1682499349328,WALKING,True
1682500100821,WALKING,False
1682500100821,IN_VEHICLE,True
1682501167414,IN_VEHICLE,False
1682501167414,WALKING,True
1682501624426,WALKING,False
1682501624426,STILL,True
1682502001504,STILL,False
1682502001504,WALKING,True
1682502248110,WALKING,False
1682502248110,ON_BICYCLE,True
1682502284134,ON_BICYCLE,False
1682502284134,WALKING,True
1682502320072,WALKING,False
1682502320072,ON_BICYCLE,True
1682502379102,ON_BICYCLE,False
1682502379102,WALKING,True
1682503092334,WALKING,False
1682503092334,STILL,True
1682503972801,STILL,False
1682503972801,WALKING,True
1682504205484,WALKING,False
1682504205484,STILL,True
1682515639039,STILL,False
1682515639039,WALKING,True
1682515994351,WALKING,False
1682515994351,ON_BICYCLE,True
1682516083994,ON_BICYCLE,False
1682516083994,WALKING,True
1682516212945,WALKING,False
1682516212945,STILL,True
1682517434855,STILL,False
1682517434855,WALKING,True
1682517545834,WALKING,False
1682517545834,STILL,True
1682385320236,STILL,False
1682385320236,WALKING,True
1682386182071,WALKING,False
1682386182071,STILL,True
1682390488304,STILL,False
1682390488304,WALKING,True
1682391152087,WALKING,False
1682391152087,STILL,True
1682392436499,STILL,False
1682392436499,WALKING,True
1682392629933,WALKING,False
1682392629933,STILL,True
1682392682286,STILL,False
1682392682286,WALKING,True
1682392840995,WALKING,False
1682392840995,STILL,True
1682394147157,STILL,False
1682394147157,WALKING,True
1682394759441,WALKING,False
1682394759441,STILL,True
1682395531932,STILL,False
1682395531932,WALKING,True
1682395622997,WALKING,False
1682395622997,STILL,True
1682396034004,STILL,False
1682396034004,WALKING,True
1682396112973,WALKING,False
1682396112973,STILL,True
1682399686118,STILL,False
1682399686118,WALKING,True
1682400232944,WALKING,False
1682400232944,STILL,True
1682411024236,STILL,False
1682411024236,WALKING,True
1682412327095,WALKING,False
1682412327095,IN_VEHICLE,True
1682413671137,IN_VEHICLE,False
1682413671137,WALKING,True
1682414299955,WALKING,False
1682414299955,STILL,True
1682414351326,STILL,False
1682414351326,WALKING,True
1682414706910,WALKING,False
1682414706910,STILL,True
1682418580386,STILL,False
1682418580386,WALKING,True
1682418837085,WALKING,False
1682418837085,STILL,True
1682418957021,STILL,False
1682418957021,WALKING,True
1682419074350,WALKING,False
1682419074350,STILL,True
1682419108850,STILL,False
1682419108850,WALKING,True
1682419221298,WALKING,False
1682419221298,STILL,True
1682422412339,STILL,False
1682422412339,WALKING,True
1682422608343,WALKING,False
1682422608343,STILL,True
1682423759833,STILL,False
1682423759833,WALKING,True
1682423953129,WALKING,False
1682423953129,STILL,True
1682426086573,STILL,False
1682426086573,WALKING,True
1682426272638,WALKING,False
1682426272638,STILL,True
1682426340508,STILL,False
1682426340508,WALKING,True
1682426459313,WALKING,False
1682426459313,STILL,True
1682431438698,STILL,False
1682431438698,WALKING,True
1682432219745,WALKING,False
1682432219745,STILL,True
1682432674790,STILL,False
1682432674790,WALKING,True
1682433003785,WALKING,False
1682433003785,IN_VEHICLE,True
1682433364346,IN_VEHICLE,False
1682433364346,WALKING,True
1682433467319,WALKING,False
1682433467319,STILL,True
1682433711535,STILL,False
1682433711535,WALKING,True
1682433934934,WALKING,False
1682433934934,STILL,True
1682439556672,STILL,False
1682439556672,WALKING,True
1682439846627,WALKING,False
1682439846627,STILL,True
1682443779218,STILL,False
1682443779218,IN_VEHICLE,True
1682446911587,IN_VEHICLE,False
1682446911587,STILL,True
1682051816043,STILL,False
1682051816043,IN_VEHICLE,True
1682051986280,IN_VEHICLE,False
1682051986280,WALKING,True
1682052146774,WALKING,False
1682052146774,STILL,True
1682052252374,STILL,False
1682052252374,WALKING,True
1682052355742,WALKING,False
1682052355742,STILL,True
1682058258193,STILL,False
1682058258193,ON_BICYCLE,True
1682058292404,ON_BICYCLE,False
1682058292404,IN_VEHICLE,True
1682058401586,IN_VEHICLE,False
1682058401586,WALKING,True
1682058461500,WALKING,False
1682058461500,STILL,True
1682069048683,STILL,False
1682069048683,WALKING,True
1682069127763,WALKING,False
1682069127763,STILL,True
1682072072713,STILL,False
1682072072713,WALKING,True
1682072157757,WALKING,False
1682072157757,IN_VEHICLE,True
1682072327828,IN_VEHICLE,False
1682072327828,WALKING,True
1682072396491,WALKING,False
1682072396491,STILL,True
1682076451412,STILL,False
1682076451412,WALKING,True
1682076545443,WALKING,False
1682076545443,IN_VEHICLE,True
1682077030688,IN_VEHICLE,False
1682077030688,WALKING,True
1682078085511,WALKING,False
1682078085511,STILL,True
1682078514874,STILL,False
1682078514874,IN_VEHICLE,True
