timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680888515647,100.0,,,,,,,
1680888515669,,100.0,,,,,,
1680891377200,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680894682199,100.0,,,,,,,
1680894682229,,100.0,,,,,,
1680895469219,100.0,,,,,,,
1680895469251,,100.0,,,,,,
1680895785209,,100.0,,,,,,
1680872516050,,96.0,1.0,2.0,,1.0,1.0,
1680872544900,,99.0,1.0,,,,,
1680872561859,,55.0,2.0,22.0,3.0,8.0,8.0,
1680872586001,,97.0,1.0,1.0,,,,
1680872614876,,96.0,2.0,2.0,,,,
1680874427700,,96.0,1.0,1.0,,1.0,1.0,
1680876698636,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876740853,,2.0,2.0,1.0,5.0,89.0,89.0,
1680876757823,,1.0,4.0,2.0,5.0,88.0,88.0,
1680876861742,100.0,,,,,,,
1680876861762,,,3.0,,1.0,96.0,96.0,
1680863830807,100.0,,,,,,,
1680863830818,,96.0,2.0,2.0,,,,
1680863847785,,71.0,2.0,10.0,2.0,12.0,12.0,
1680863864736,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863881709,,72.0,2.0,12.0,3.0,10.0,10.0,
1680863898680,,53.0,2.0,11.0,7.0,24.0,24.0,
1680863918052,,80.0,3.0,8.0,3.0,5.0,5.0,
1680864475145,100.0,,,,,,,
1680864475164,,3.0,3.0,7.0,2.0,84.0,84.0,
1680864496995,,71.0,1.0,5.0,5.0,15.0,15.0,
1680864513989,,61.0,2.0,8.0,4.0,19.0,19.0,
1680865394431,100.0,,,,,,,
1680865394472,,2.0,2.0,4.0,3.0,87.0,87.0,1.0
1680865584234,100.0,,,,,,,
1680865584257,,,1.0,1.0,3.0,82.0,82.0,13.0
1680865601310,100.0,,,,,,,
1680865601331,,2.0,2.0,3.0,4.0,84.0,84.0,5.0
1680865746139,100.0,,,,,,,
1680865746155,,1.0,2.0,1.0,2.0,91.0,91.0,2.0
1680865788952,100.0,,,,,,,
1680865788983,,97.0,2.0,,,1.0,1.0,
1680865805934,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680867438267,100.0,,,,,,,
1680867438294,,100.0,,,,,,
1680867462421,,100.0,,,,,,
