timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680889721383,100.0,,,,,,,
1680900828882,100.0,,,,,,,
1680901460459,100.0,,,,,,,
1680871454716,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872135920,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872151008,,,,,,,,100.0
1680872151039,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872156024,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872161078,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872166055,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872171110,99.0,1.0,,,,,,
1680872176099,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872181111,,2.0,1.0,,97.0,97.0,,
1680872186170,,3.0,,,97.0,97.0,,
1680872191194,,1.0,,,99.0,99.0,,
1680872196246,,3.0,,,97.0,97.0,,
1680872201247,,,,,,,,100.0
1680872201277,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872206281,,,,,,,,100.0
1680872206315,4.0,3.0,1.0,3.0,87.0,87.0,2.0,
1680872229064,,,,,,,,100.0
1680872229094,1.0,2.0,2.0,2.0,87.0,87.0,5.0,
1680872234055,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872239118,1.0,2.0,5.0,2.0,85.0,85.0,1.0,
1680872244116,1.0,1.0,3.0,1.0,90.0,90.0,1.0,
1680872249100,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872254158,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872259189,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872264190,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872269409,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872274439,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872279455,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872305377,,1.0,5.0,93.0,1.0,1.0,,
1680872310569,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872314028,96.0,2.0,2.0,,,,,
1680872438425,,,,,,,,100.0
1680872438462,,1.0,,94.0,5.0,5.0,,
1680872463564,,2.0,2.0,88.0,8.0,8.0,,
1680872480350,,,,,,,,100.0
1680872480387,,2.0,,97.0,1.0,1.0,,
1680872485469,,3.0,9.0,84.0,2.0,1.0,2.0,
1680872490666,,1.0,,99.0,,,,
1680872508088,,,,,,,,100.0
1680872508134,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872523172,1.0,,5.0,82.0,10.0,10.0,1.0,
1680872548323,,,,,,,,100.0
1680872548375,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872575433,,,,,,,,100.0
1680872575462,,2.0,1.0,96.0,1.0,1.0,,
1680872679705,,,6.0,90.0,4.0,4.0,,
1680872699954,,,,,,,,100.0
1680872699986,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872807591,,,,,,,,100.0
1680872807645,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680873008039,,,,,,,,100.0
1680873008083,2.0,1.0,2.0,2.0,90.0,90.0,2.0,
1680873045607,,,,,,,,100.0
1680873045629,1.0,3.0,,2.0,86.0,86.0,8.0,
1680873140125,,,,,,,,100.0
1680873140164,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680873361906,,,,,,,,100.0
1680873361949,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680873431057,,,,,,,,100.0
1680873431095,53.0,1.0,5.0,10.0,26.0,26.0,1.0,
1680873454643,,,,,,,,100.0
1680873454680,97.0,2.0,,,1.0,1.0,,
1680873471693,97.0,1.0,1.0,,1.0,1.0,,
1680873624567,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680873641548,49.0,1.0,21.0,2.0,15.0,15.0,,
1680873956756,,,,,,,,100.0
1680873956838,7.0,2.0,3.0,3.0,81.0,81.0,2.0,
1680873973878,,,,,,,,100.0
1680873973909,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680873990889,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680874007892,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680874024861,99.0,1.0,,,,,,
1680874041805,97.0,1.0,1.0,,1.0,1.0,,
1680874058799,99.0,1.0,,,,,,
1680874075815,99.0,1.0,,,,,,
1680874092799,99.0,1.0,,,,,,
1680874109787,99.0,1.0,,,,,,
1680874126744,99.0,1.0,,,,,,
1680874143742,99.0,1.0,,,,,,
1680874160716,99.0,1.0,,,,,,
1680874180627,99.0,1.0,,,,,,
1680874197597,,,,,,,,100.0
1680874197606,97.0,1.0,1.0,,,,,
1680874214604,89.0,1.0,5.0,,3.0,3.0,,
1680874231586,66.0,1.0,14.0,1.0,9.0,9.0,,
1680874248560,59.0,1.0,25.0,1.0,9.0,9.0,,
1680874265750,54.0,1.0,28.0,1.0,13.0,13.0,,
1680874282761,93.0,1.0,5.0,,1.0,1.0,,
1680874299734,97.0,2.0,1.0,,,,,
1680874316724,63.0,2.0,24.0,,3.0,3.0,,
1680874333689,95.0,1.0,2.0,,,,,
1680874350671,96.0,1.0,1.0,,1.0,1.0,,
1680874363557,99.0,1.0,,,,,,
1680874380567,67.0,1.0,17.0,,5.0,5.0,,
1680874397565,36.0,2.0,29.0,2.0,13.0,13.0,,
1680874414547,68.0,2.0,10.0,2.0,10.0,10.0,,
1680874431505,96.0,1.0,1.0,,1.0,1.0,,
1680874448480,94.0,2.0,2.0,,1.0,1.0,,
1680874465459,76.0,1.0,10.0,2.0,5.0,5.0,,
1680874482445,96.0,2.0,1.0,,,,,
1680874499411,97.0,3.0,,,,,,
1680874512554,90.0,3.0,4.0,,2.0,2.0,,
1680876358520,60.0,2.0,28.0,1.0,3.0,3.0,,
1680876503648,,,,,,,,100.0
1680876503683,100.0,,,,,,,
1680863149601,3.0,1.0,6.0,82.0,4.0,4.0,,
1680863166627,43.0,1.0,13.0,6.0,28.0,28.0,1.0,
1680863183581,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863216333,59.0,3.0,19.0,4.0,10.0,10.0,,
1680863237253,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680863349556,57.0,1.0,21.0,1.0,5.0,5.0,,
1680863755639,93.0,1.0,3.0,,1.0,1.0,,
1680863772613,39.0,1.0,28.0,1.0,4.0,4.0,,
1680863789620,57.0,3.0,19.0,4.0,6.0,6.0,,
1680863806633,67.0,,17.0,1.0,6.0,6.0,,
1680864085926,99.0,1.0,,,,,,
1680864102813,63.0,2.0,7.0,3.0,20.0,20.0,,
1680866284939,89.0,1.0,6.0,,2.0,2.0,,
1680866707426,38.0,1.0,22.0,7.0,18.0,18.0,,
1680867045665,96.0,2.0,1.0,,,,,
1680867710554,52.0,3.0,19.0,1.0,7.0,7.0,,
1680867888316,,,,,,,,100.0
1680867888341,39.0,2.0,29.0,3.0,11.0,11.0,,
