timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680867539381,1.0,1.0,2.0,2.0,90.0,90.0,3.0,
1680867582342,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867616080,,,,,,,,100.0
1680867616112,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867649559,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867682592,,,,,,,,100.0
1680867682643,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867715342,,,,,,,,100.0
1680867715424,,1.0,2.0,1.0,92.0,92.0,3.0,
1680867748194,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867789594,,,,,,,,100.0
1680867789657,1.0,2.0,3.0,93.0,1.0,1.0,,
1680867822506,,,1.0,99.0,,,,
1680867847548,,,,100.0,,,,
1680867871769,,1.0,,99.0,,,,
1680867905037,,2.0,5.0,91.0,2.0,2.0,,
1680867930059,,2.0,,98.0,,,,
1680867960571,,1.0,,99.0,,,,
1680867985136,,1.0,,99.0,,,,
1680868009548,,,,100.0,,,,
1680868035080,,2.0,1.0,97.0,,,,
1680868067763,,,,,,,,100.0
1680868067949,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868100592,,,,,,,,100.0
1680868100649,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868133545,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868166302,,,,,,,,100.0
1680868166350,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868200223,,,,,,,,100.0
1680868200285,2.0,3.0,1.0,1.0,91.0,91.0,1.0,
1680868232990,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868268273,,,,,,,,100.0
1680868268322,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868300893,,,,,,,,100.0
1680868300938,,2.0,,1.0,90.0,90.0,7.0,
1680868324607,,,,,,,,100.0
1680868324652,1.0,2.0,,,96.0,96.0,1.0,
1680868358157,,,,,,,,100.0
1680868358195,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868392604,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868425116,,,,,,,,100.0
1680868425172,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868458531,,,,,,,,100.0
1680868458582,,2.0,,2.0,66.0,30.0,66.0,
1680868491707,,,,,,,,100.0
1680868492180,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868525574,,,,,,,,100.0
1680868525627,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868550096,,,,,,,,100.0
1680868550168,,2.0,,,98.0,98.0,,
1680868582914,,,,,,,,100.0
1680868582970,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868622066,,,,,,,,100.0
1680868622119,43.0,3.0,13.0,8.0,23.0,23.0,,
1680868655621,,,,,,,,100.0
1680868655670,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868688374,,,,,,,,100.0
1680868688424,2.0,2.0,2.0,3.0,86.0,86.0,4.0,
1680868721533,,,,,,,,100.0
1680868721591,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868759563,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868792798,,,,,,,,100.0
1680868792843,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868822803,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868855548,,,,,,,,100.0
1680868855599,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868889039,,,,,,,,100.0
1680868889094,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868921854,,,,,,,,100.0
1680868921884,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868955545,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680868992988,,,,,,,,100.0
1680868992995,,3.0,,2.0,90.0,90.0,5.0,
1680869025669,,,,,,,,100.0
1680869025718,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680869058601,2.0,1.0,2.0,3.0,87.0,87.0,3.0,
1680869092046,,,,,,,,100.0
1680869092098,2.0,2.0,1.0,2.0,89.0,89.0,4.0,
1680869117553,,,,,,,,100.0
1680869117608,100.0,,,,,,,
1680869142031,100.0,,,,,,,
1680869167035,100.0,,,,,,,
1680869192029,100.0,,,,,,,
1680869217026,100.0,,,,,,,
1680869250143,100.0,,,,,,,
1680869275450,100.0,,,,,,,
1680869300552,100.0,,,,,,,
1680869324828,100.0,,,,,,,
1680869349031,100.0,,,,,,,
1680869373258,100.0,,,,,,,
1680869398105,100.0,,,,,,,
1680869422563,100.0,,,,,,,
1680869447109,100.0,,,,,,,
1680869472120,100.0,,,,,,,
1680869497082,100.0,,,,,,,
1680869521561,100.0,,,,,,,
1680869546559,100.0,,,,,,,
1680869570774,100.0,,,,,,,
1680869596042,100.0,,,,,,,
1680869620277,100.0,,,,,,,
1680870266127,100.0,,,,,,,
1680836831904,100.0,,,,,,,
1680836864593,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680836888781,,,,,,,,100.0
1680836888831,97.0,1.0,1.0,,,,,
1680836913573,100.0,,,,,,,
