timestamp,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING,TILTING
1680904092627,100.0,,,,,,,
1680907385646,44.0,23.0,11.0,11.0,2.0,1.0,,
1680907402925,48.0,11.0,24.0,24.0,5.0,2.0,,
1680907420298,3.0,2.0,82.0,82.0,6.0,2.0,3.0,
1680907437248,,,,,,,,100.0
1680907437274,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680907455331,100.0,,,,,,,
1680907472435,100.0,,,,,,,
1680907486372,99.0,,,,,1.0,,
1680907504410,99.0,,,,,1.0,,
1680907521499,99.0,,,,,1.0,,
1680907538596,99.0,,,,,1.0,,
1680907573337,100.0,,,,,,,
1680907590507,98.0,,1.0,1.0,,1.0,,
1680907607729,99.0,,,,,1.0,,
1680907624977,99.0,,,,,1.0,,
1680907642490,99.0,,,,,1.0,,
1680907659560,99.0,,,,,1.0,,
1680907677355,99.0,,,,,1.0,,
1680907695442,99.0,,,,,1.0,,
1680907712518,99.0,,,,,1.0,,
1680907729591,99.0,,,,,1.0,,
1680907747498,99.0,,,,,1.0,,
1680907771967,100.0,,,,,,,
1680907801354,100.0,,,,,,,
1680907825486,99.0,,,,,1.0,,
1680907842720,99.0,,,,,1.0,,
1680907859840,99.0,,,,,1.0,,
1680907877056,99.0,,,,,1.0,,
1680907894292,99.0,,,,,1.0,,
1680907911196,99.0,,,,,1.0,,
1680907928249,99.0,,,,,1.0,,
1680907951326,100.0,,,,,,,
1680910537673,,,,,,,,100.0
1680910537695,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910569350,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910586387,,,,,,,,100.0
1680910586418,44.0,20.0,23.0,23.0,5.0,3.0,1.0,
1680910603443,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910620504,4.0,90.0,1.0,1.0,1.0,2.0,,
1680910637508,2.0,85.0,2.0,2.0,,2.0,,
1680910654527,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910671531,4.0,86.0,1.0,1.0,,3.0,,
1680910688587,4.0,89.0,,,,1.0,,
1680910705609,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910739538,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910756601,3.0,90.0,,,,1.0,,
1680910773638,96.0,2.0,,,,1.0,,
1680910790619,99.0,1.0,,,,,,
1680910803471,97.0,1.0,,,,2.0,,
1680910820446,97.0,1.0,,,,2.0,,
1680910837492,97.0,1.0,,,,1.0,,
1680910854546,63.0,29.0,,,,1.0,,
1680910871567,1.0,96.0,,,,,,
1680910888536,1.0,96.0,,,,,,
1680910905789,3.0,94.0,,,,1.0,,
1680910922884,,91.0,,,,1.0,,
1680910940456,,82.0,,,,,,
1680910958312,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910975417,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680910992523,2.0,86.0,,,,1.0,,
1680911010380,99.0,,,,,1.0,,
1680911027513,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680911044619,1.0,91.0,,,,,,
