timestamp,STILL,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680896079719,100.0,,,,,,,
1680902587978,100.0,,,,,,,
1680873992289,100.0,,,,,,,
1680874347432,100.0,,,,,,,
1680875394162,100.0,,,,,,,
1680863643081,,100.0,,,,,,
1680863643139,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863669317,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863679775,,100.0,,,,,,
1680863679807,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863685012,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863690319,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863695580,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863700797,52.0,,3.0,14.0,5.0,22.0,22.0,
1680863707011,,100.0,,,,,,
1680863707059,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863712217,,100.0,,,,,,
1680863712232,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863717499,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863722756,,100.0,,,,,,
1680863722774,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863728014,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863734450,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863756625,97.0,,2.0,,,1.0,1.0,
1680863782327,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863797620,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863823604,40.0,,1.0,13.0,21.0,15.0,15.0,1.0
1680863879234,,100.0,,,,,,
1680863879263,93.0,,1.0,1.0,2.0,2.0,2.0,
1680863895248,,100.0,,,,,,
1680863895288,100.0,,,,,,,
1680863917705,98.0,,2.0,,,,,
1680863948635,,100.0,,,,,,
1680863948674,48.0,,2.0,10.0,7.0,24.0,24.0,1.0
1680863985267,,100.0,,,,,,
1680863985287,,,1.0,,,99.0,99.0,
1680864001234,,100.0,,,,,,
1680864001257,100.0,,,,,,,
1680864039379,,100.0,,,,,,
1680864039426,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864065119,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864091007,,100.0,,,,,,
1680864091020,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864106456,,100.0,,,,,,
1680864106494,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864136760,,100.0,,,,,,
1680864136816,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864152059,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864167469,,100.0,,,,,,
1680864167517,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680864184501,99.0,,1.0,,,,,
1680864204281,100.0,,,,,,,
1680864253453,100.0,,,,,,,
1680864268607,99.0,,1.0,,,,,
1680864283857,96.0,,1.0,1.0,,1.0,1.0,
1680864294165,100.0,,,,,,,
1680864309502,100.0,,,,,,,
1680864342283,100.0,,,,,,,
1680864358557,99.0,,1.0,,,,,
1680864385690,100.0,,,,,,,
1680864413543,100.0,,,,,,,
1680864429370,100.0,,,,,,,
1680864444619,99.0,,1.0,,,,,
1680864467749,100.0,,,,,,,
1680864490217,100.0,,,,,,,
1680864507375,100.0,,,,,,,
1680864535276,100.0,,,,,,,
1680864554404,100.0,,,,,,,
1680864569566,99.0,,1.0,,,,,
1680864589987,100.0,,,,,,,
1680864605455,100.0,,,,,,,
1680864637412,100.0,,,,,,,
1680864652703,99.0,,1.0,,,,,
1680864668014,99.0,,1.0,,,,,
1680865095732,100.0,,,,,,,
1680865633519,100.0,,,,,,,
1680865778875,100.0,,,,,,,
1680868021337,100.0,,,,,,,
1680868075734,100.0,,,,,,,
1680868587395,100.0,,,,,,,
1680869301418,100.0,,,,,,,
1680869310554,100.0,,,,,,,
1680870029396,100.0,,,,,,,
1680870402111,100.0,,,,,,,
1680836815606,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836831466,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836841880,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836849759,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836856359,98.0,,1.0,1.0,,,,
1680836862324,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836867693,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836873079,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836878461,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836883712,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836889455,35.0,,3.0,19.0,4.0,33.0,33.0,
1680836894739,73.0,,3.0,2.0,,22.0,22.0,
1680836900034,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836905384,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836911409,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836916680,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836922016,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836945793,98.0,,1.0,,,1.0,1.0,
1680836981240,100.0,,,,,,,
1680836986553,100.0,,,,,,,
1680836991779,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680836997005,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837023212,99.0,,1.0,,,,,
1680837049292,100.0,,,,,,,
1680837084967,98.0,,1.0,,,1.0,1.0,
1680837095518,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837101343,98.0,,1.0,,,1.0,1.0,
1680837106542,98.0,,1.0,1.0,,,,
1680837111838,51.0,,1.0,12.0,4.0,28.0,28.0,
1680837117445,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837122716,38.0,,2.0,19.0,8.0,27.0,27.0,1.0
1680837128031,87.0,,2.0,6.0,,4.0,4.0,
1680837133401,47.0,,1.0,12.0,5.0,27.0,27.0,1.0
1680837138795,45.0,,2.0,20.0,7.0,21.0,21.0,
1680837144433,96.0,,1.0,1.0,,2.0,2.0,
1680837149699,53.0,,2.0,7.0,7.0,29.0,29.0,1.0
1680837154926,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837160392,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837166443,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837171720,46.0,,2.0,14.0,7.0,27.0,27.0,1.0
1680837177494,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837203216,40.0,,2.0,12.0,6.0,33.0,33.0,1.0
1680837230020,100.0,,,,,,,
1680837253018,,100.0,,,,,,
1680837253136,71.0,,3.0,9.0,2.0,8.0,8.0,
1680837263536,,100.0,,,,,,
1680837263604,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837268946,,100.0,,,,,,
1680837269071,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837274367,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837284906,,100.0,,,,,,
1680837284971,99.0,,1.0,,,,,
1680837290139,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837302743,,100.0,,,,,,
1680837302754,,,2.0,,,97.0,97.0,1.0
1680837313047,,100.0,,,,,,
1680837313077,1.0,,2.0,,1.0,92.0,92.0,4.0
1680837318241,,100.0,,,,,,
1680837318271,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837323524,,,3.0,,,97.0,97.0,
1680837328665,,,1.0,,1.0,98.0,98.0,
1680837333923,,,3.0,,5.0,92.0,92.0,
1680837339164,1.0,,2.0,,6.0,90.0,90.0,1.0
1680837354511,,,2.0,1.0,1.0,96.0,96.0,
1680837369725,,,3.0,,,97.0,97.0,
1680837384949,1.0,,2.0,,1.0,96.0,96.0,
1680837400118,1.0,,2.0,,1.0,96.0,96.0,
1680837415706,,,3.0,,1.0,96.0,96.0,
1680837430331,,,1.0,,2.0,97.0,97.0,
1680837445677,,,2.0,,1.0,97.0,97.0,
1680837462799,,,1.0,,3.0,96.0,96.0,
1680837478137,,,2.0,,2.0,96.0,96.0,
1680837493901,,,1.0,,2.0,97.0,97.0,
1680837509148,,,1.0,,1.0,97.0,97.0,1.0
1680837524345,,,2.0,,1.0,97.0,97.0,
1680837540595,,,3.0,,1.0,96.0,96.0,
1680837550905,1.0,,2.0,,,97.0,97.0,
1680837566551,,,2.0,,,98.0,98.0,
1680837582828,,,2.0,,1.0,97.0,97.0,
1680837598129,,,2.0,,1.0,97.0,97.0,
1680837613433,,,2.0,,2.0,96.0,96.0,
1680837628680,,,2.0,,1.0,97.0,97.0,
1680837643870,1.0,,2.0,,1.0,96.0,96.0,
1680837660536,,,1.0,,2.0,97.0,97.0,
1680837675779,,,3.0,,1.0,96.0,96.0,
1680837691019,,,1.0,,3.0,96.0,96.0,
1680837706506,,,1.0,,1.0,98.0,98.0,
1680837721748,,,3.0,,1.0,96.0,96.0,
1680837737033,,,1.0,1.0,1.0,96.0,96.0,1.0
1680837749705,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680837765008,,100.0,,,,,,
1680837765036,1.0,,1.0,,2.0,93.0,93.0,3.0
1680837782363,,,2.0,,4.0,93.0,93.0,1.0
1680837797586,,,1.0,,4.0,95.0,95.0,
1680837817964,,100.0,,,,,,
1680837817991,1.0,,2.0,,,96.0,96.0,1.0
1680837823154,6.0,,3.0,1.0,1.0,88.0,88.0,1.0
1680837828348,,,1.0,,,98.0,98.0,1.0
1680837833613,,100.0,,,,,,
1680837833658,,,3.0,,2.0,90.0,90.0,5.0
1680837860166,,100.0,,,,,,
1680837860167,,,2.0,2.0,1.0,93.0,93.0,1.0
1680837865253,2.0,,3.0,2.0,1.0,89.0,89.0,1.0
1680837870339,1.0,,3.0,,,95.0,95.0,1.0
1680837875487,1.0,,3.0,,,96.0,96.0,
1680837880640,4.0,,3.0,4.0,,88.0,88.0,
1680837885787,2.0,,2.0,2.0,,93.0,93.0,
1680837890939,4.0,,2.0,4.0,,89.0,89.0,
1680837896102,1.0,,2.0,1.0,,95.0,95.0,
1680837901327,2.0,,2.0,4.0,,91.0,91.0,
1680837906591,1.0,,1.0,3.0,1.0,91.0,91.0,1.0
1680837911825,2.0,,2.0,1.0,,95.0,95.0,
1680837917013,2.0,,2.0,1.0,,94.0,94.0,
1680837922145,2.0,,2.0,3.0,,92.0,92.0,
1680837927418,1.0,,2.0,5.0,,91.0,91.0,
1680837950463,1.0,,2.0,1.0,,96.0,96.0,
1680837954466,1.0,,1.0,1.0,,95.0,95.0,1.0
1680837959438,6.0,,3.0,1.0,1.0,89.0,89.0,
1680837964786,,100.0,,,,,,
1680837964808,2.0,,3.0,1.0,,93.0,93.0,1.0
1680837990484,,100.0,,,,,,
1680837990512,7.0,,3.0,,,89.0,89.0,1.0
1680838008557,100.0,,,,,,,
1680838033292,100.0,,,,,,,
1680838038457,100.0,,,,,,,
1680838053679,99.0,,1.0,,,,,
1680838068821,99.0,,1.0,,,,,
1680838085435,99.0,,1.0,,,,,
1680838100810,99.0,,1.0,,,,,
1680838116085,99.0,,1.0,,,,,
1680838132285,100.0,,,,,,,
1680838148620,100.0,,,,,,,
1680838163821,97.0,,1.0,1.0,,1.0,1.0,
1680838179352,100.0,,,,,,,
1680838194538,100.0,,,,,,,
1680838206482,99.0,,1.0,,,,,
1680838221626,100.0,,,,,,,
1680838237363,99.0,,1.0,,,,,
1680838252586,99.0,,1.0,,,,,
1680838267900,99.0,,1.0,,,,,
1680838299785,100.0,,,,,,,
1680838316990,100.0,,,,,,,
1680838344220,100.0,,,,,,,
1680838359497,99.0,,1.0,,,,,
1680838374981,99.0,,1.0,,,,,
1680838388432,99.0,,1.0,,,,,
1680838403691,99.0,,1.0,,,,,
1680838420555,99.0,,1.0,,,,,
1680838435810,99.0,,1.0,,,,,
1680838451552,99.0,,1.0,,,,,
1680838466422,99.0,,1.0,,,,,
1680838505346,100.0,,,,,,,
1680840166118,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680840191777,,100.0,,,,,,
1680840194791,3.0,,2.0,2.0,3.0,88.0,88.0,2.0
1680840207009,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680840217369,99.0,,1.0,,,,,
1680840232667,99.0,,1.0,,,,,
1680840247867,99.0,,1.0,,,,,
1680840270280,100.0,,,,,,,
1680840298202,99.0,,1.0,,,,,
1680840315210,100.0,,,,,,,
1680840330472,99.0,,1.0,,,,,
1680840345728,99.0,,1.0,,,,,
1680840360981,99.0,,1.0,,,,,
1680840376273,99.0,,1.0,,,,,
1680840391567,99.0,,1.0,,,,,
1680840407007,99.0,,1.0,,,,,
1680840429555,100.0,,,,,,,
1680840457511,100.0,,,,,,,
1680840472917,100.0,,,,,,,
1680840496362,100.0,,,,,,,
1680840511771,99.0,,1.0,,,,,
1680840527254,99.0,,1.0,,,,,
1680840542700,99.0,,1.0,,,,,
1680840558101,99.0,,1.0,,,,,
1680840573591,99.0,,1.0,,,,,
1680840588771,100.0,,,,,,,
1680840604024,99.0,,1.0,,,,,
1680840619338,99.0,,1.0,,,,,
1680840634653,99.0,,1.0,,,,,
1680840650813,99.0,,1.0,,,,,
1680840666115,99.0,,1.0,,,,,
1680840677432,99.0,,1.0,,,,,
1680840694080,99.0,,1.0,,,,,
1680840709387,99.0,,1.0,,,,,
1680878784399,100.0,,,,,,,
1680846403227,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680846408818,97.0,,1.0,,,2.0,2.0,
1680846413926,100.0,,,,,,,
1680846423926,100.0,,,,,,,
1680846439195,99.0,,1.0,,,,,
1680846454468,99.0,,1.0,,,,,
1680846469697,99.0,,1.0,,,,,
1680846484960,99.0,,1.0,,,,,
1680846500259,99.0,,1.0,,,,,
1680846515690,99.0,,1.0,,,,,
1680846531036,99.0,,1.0,,,,,
1680846546354,99.0,,1.0,,,,,
1680846561542,96.0,,1.0,1.0,,1.0,1.0,
1680846582454,100.0,,,,,,,
1680846610669,100.0,,,,,,,
1680846616040,100.0,,,,,,,
1680846631294,99.0,,1.0,,,,,
1680846646595,99.0,,1.0,,,,,
1680846661842,99.0,,1.0,,,,,
1680846677073,99.0,,1.0,,,,,
1680846693064,99.0,,1.0,,,,,
1680846708522,99.0,,1.0,,,,,
1680846723834,96.0,,1.0,1.0,,1.0,1.0,
1680846739519,99.0,,1.0,,,,,
1680846755523,99.0,,1.0,,,,,
1680846771379,99.0,,1.0,,,,,
1680846788370,99.0,,1.0,,,,,
1680846804515,99.0,,1.0,,,,,
1680846819788,99.0,,1.0,,,,,
1680846835539,99.0,,1.0,,,,,
1680846850835,99.0,,1.0,,,,,
1680846866485,99.0,,1.0,,,,,
1680846881769,99.0,,1.0,,,,,
1680846897507,99.0,,1.0,,,,,
1680850657088,,100.0,,,,,,
1680850657125,49.0,,2.0,21.0,3.0,16.0,16.0,
1680850693873,,100.0,,,,,,
1680850693941,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850709251,,100.0,,,,,,
1680850709323,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850724545,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850740320,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850755648,34.0,,2.0,18.0,12.0,24.0,24.0,1.0
1680850770936,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850787834,1.0,,,3.0,3.0,91.0,91.0,1.0
1680850802552,,100.0,,,,,,
1680850802568,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680850817911,45.0,,2.0,21.0,5.0,14.0,14.0,6.0
1680850833144,,100.0,,,,,,
1680850833164,72.0,,2.0,12.0,,3.0,3.0,
1680850849025,99.0,,1.0,,,,,
1680850864218,99.0,,1.0,,,,,
1680850880322,99.0,,1.0,,,,,
1680850901398,100.0,,,,,,,
1680850917332,100.0,,,,,,,
1680850932557,99.0,,1.0,,,,,
1680850947838,99.0,,1.0,,,,,
1680850958097,100.0,,,,,,,
1680850973277,100.0,,,,,,,
1680850988540,99.0,,1.0,,,,,
1680851003842,99.0,,1.0,,,,,
1680851019009,99.0,,1.0,,,,,
1680851030200,99.0,,1.0,,,,,
1680851045538,99.0,,1.0,,,,,
1680851061551,99.0,,1.0,,,,,
1680851076736,99.0,,1.0,,,,,
1680851107401,100.0,,,,,,,
1680851128310,100.0,,,,,,,
1680851143502,100.0,,,,,,,
1680851161429,96.0,,1.0,1.0,,1.0,1.0,
1680851175796,90.0,,2.0,4.0,,2.0,2.0,
1680851190997,99.0,,1.0,,,,,
1680851211117,100.0,,,,,,,
1680851226230,100.0,,,,,,,
1680851241499,99.0,,1.0,,,,,
1680851256741,99.0,,1.0,,,,,
1680851272070,99.0,,1.0,,,,,
1680851287493,99.0,,1.0,,,,,
1680851302776,99.0,,1.0,,,,,
1680851333472,100.0,,,,,,,
1680851769145,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680851795403,5.0,,2.0,1.0,2.0,88.0,88.0,2.0
1680851815815,,100.0,,,,,,
1680851815830,,,1.0,,,98.0,98.0,1.0
1680851831178,1.0,,1.0,,1.0,96.0,96.0,1.0
1680851846472,1.0,,2.0,,,97.0,97.0,
1680851861731,,,2.0,,,97.0,97.0,1.0
1680851877359,1.0,,2.0,,1.0,96.0,96.0,
1680851892659,,,1.0,,2.0,96.0,96.0,1.0
1680851908024,,,2.0,,,97.0,97.0,1.0
1680851923218,,100.0,,,,,,
1680851923233,,,1.0,,,96.0,96.0,3.0
1680851940391,1.0,,2.0,,1.0,96.0,96.0,
1680851949890,1.0,,1.0,,1.0,96.0,96.0,1.0
1680851975465,,100.0,,,,,,
1680851975496,1.0,,1.0,,,97.0,97.0,1.0
1680851988158,1.0,,2.0,,,97.0,97.0,
1680852005781,1.0,,2.0,,,97.0,97.0,
1680852032561,,,1.0,,3.0,95.0,95.0,1.0
1680852047762,1.0,,1.0,,1.0,96.0,96.0,1.0
1680852062972,,,2.0,,1.0,97.0,97.0,
1680852078229,,,2.0,,1.0,97.0,97.0,
1680852095500,,,2.0,,1.0,97.0,97.0,
1680852110831,,100.0,,,,,,
1680852110855,,,3.0,,1.0,96.0,96.0,
1680852126168,,100.0,,,,,,
1680852126190,,,1.0,,,95.0,95.0,4.0
1680852141361,,,2.0,,,95.0,95.0,3.0
1680852156602,,,1.0,,,98.0,98.0,1.0
1680852165749,,100.0,,,,,,
1680852165799,1.0,,1.0,,1.0,96.0,96.0,1.0
1680852182159,,100.0,,,,,,
1680852182177,,,3.0,,1.0,96.0,96.0,
1680852197391,,,3.0,,,97.0,97.0,
1680852207705,,,2.0,,,98.0,98.0,
1680852222984,,100.0,,,,,,
1680852223020,1.0,,2.0,,2.0,93.0,93.0,2.0
1680852238280,,100.0,,,,,,
