timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680872772490,100.0,,,,,,,
1680872772565,,1.0,,94.0,94.0,,3.0,2.0
1680872780839,,1.0,,95.0,95.0,,3.0,1.0
1680872802399,,100.0,,,,,,
1680872807663,,45.0,19.0,10.0,10.0,7.0,3.0,
1680872985355,100.0,,,,,,,
1680872985397,,100.0,,,,,,
1680872995961,,98.0,1.0,,,,1.0,
1680873014093,,99.0,,,,,1.0,
1680873040656,100.0,,,,,,,
1680873040666,,100.0,,,,,,
1680873067435,,1.0,88.0,2.0,2.0,4.0,2.0,
1680873077824,,1.0,90.0,2.0,2.0,1.0,2.0,
1680873093097,,3.0,93.0,1.0,1.0,,1.0,
1680873141605,,59.0,17.0,8.0,8.0,3.0,3.0,
1680873150081,,62.0,15.0,9.0,9.0,3.0,1.0,
1680873171134,100.0,,,,,,,
1680873171178,,97.0,,,,,3.0,
1680873181468,,45.0,21.0,18.0,18.0,4.0,2.0,
1680873186715,,99.0,,,,,1.0,
1680873194175,,99.0,,,,,1.0,
1680873315709,,97.0,1.0,,,,1.0,
1680873334600,,100.0,,,,,,
1680873350154,,99.0,,,,,1.0,
1680873365503,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873379074,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873397077,,35.0,13.0,29.0,29.0,13.0,1.0,1.0
1680873663974,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873800111,,100.0,,,,,,
1680873812500,100.0,,,,,,,
1680873812517,,99.0,,,,,1.0,
1680873827982,,96.0,1.0,1.0,1.0,,1.0,
1680873843388,,98.0,1.0,,,,1.0,
1680873857070,,95.0,3.0,,,,1.0,
1680873873714,,97.0,1.0,,,,1.0,
1680873894663,,100.0,,,,,,
1680873917582,,100.0,,,,,,
1680873932675,,100.0,,,,,,
1680873947893,,100.0,,,,,,
1680873970253,,100.0,,,,,,
1680873975370,,100.0,,,,,,
1680873990516,,97.0,1.0,1.0,1.0,,,
1680874005635,,96.0,1.0,1.0,1.0,,1.0,
1680874026089,,59.0,35.0,,,,2.0,
1680874043947,,82.0,17.0,,,,,
1680874058077,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680874073389,,99.0,,,,,1.0,
1680874088859,,92.0,7.0,,,,1.0,
1680874109361,,100.0,,,,,,
1680874124720,,97.0,1.0,,,,1.0,
1680874140131,,96.0,3.0,,,,1.0,
1680874156527,,97.0,2.0,,,,1.0,
1680874171632,,71.0,17.0,4.0,4.0,1.0,1.0,
1680874186788,,99.0,,,,,1.0,
1680874201963,,97.0,1.0,,,,2.0,
1680874217098,,99.0,,,,,1.0,
1680874232422,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680874247855,,55.0,34.0,2.0,2.0,,3.0,
1680874263179,,75.0,20.0,1.0,1.0,,2.0,
1680874277545,,70.0,26.0,1.0,1.0,,1.0,
1680874294494,,96.0,2.0,,,,2.0,
1680874308826,,96.0,2.0,,,,1.0,
1680874324094,,99.0,,,,,1.0,
1680874340436,,97.0,1.0,,,,2.0,
1680874355526,,100.0,,,,,,
1680874367587,,100.0,,,,,,
1680874389066,,97.0,1.0,,,,2.0,
1680874403131,,100.0,,,,,,
1680874419190,,96.0,1.0,1.0,1.0,,1.0,
1680874434867,,99.0,,,,,1.0,
1680874448776,,99.0,,,,,1.0,
1680874464159,,96.0,1.0,,,,2.0,
1680874480454,,90.0,4.0,1.0,1.0,,1.0,
1680874501768,,100.0,,,,,,
1680874517088,,96.0,2.0,,,,2.0,
1680874532414,,96.0,3.0,,,,1.0,
1680874547761,,97.0,2.0,,,,1.0,
1680874570217,,100.0,,,,,,
1680874575340,,65.0,16.0,7.0,7.0,1.0,3.0,
1680874590524,,93.0,6.0,,,,1.0,
1680874605663,,98.0,,,,,2.0,
1680874622674,,99.0,,,,,1.0,
1680874637792,,97.0,1.0,1.0,1.0,,1.0,
1680874652936,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680874668220,,71.0,27.0,,,,1.0,
1680874683550,,71.0,25.0,1.0,1.0,,2.0,
1680874698890,,97.0,2.0,,,,1.0,
1680874714177,,99.0,,,,,1.0,
1680874730795,,98.0,1.0,,,,1.0,
1680874751046,,100.0,,,,,,
1680874765443,,100.0,,,,,,
1680874780087,,99.0,,,,,1.0,
1680874796078,,78.0,8.0,5.0,5.0,2.0,2.0,
1680874810352,,98.0,,,,,2.0,
1680874825524,,98.0,,,,,2.0,
1680874840693,,99.0,,,,,1.0,
1680874855897,,99.0,,,,,1.0,
1680874871014,,99.0,,,,,1.0,
1680874891325,100.0,,,,,,,
1680874891362,,60.0,17.0,6.0,6.0,2.0,1.0,
1680874900983,,100.0,,,,,,
1680874916390,,68.0,12.0,4.0,4.0,2.0,2.0,
1680874931708,,96.0,1.0,1.0,1.0,,1.0,
1680874947017,,98.0,,,,,2.0,
1680874962350,,83.0,8.0,1.0,1.0,1.0,1.0,
1680874977666,,98.0,1.0,,,,1.0,
1680874992967,,97.0,1.0,,,,2.0,
1680875008987,100.0,,,,,,,
1680875009006,,100.0,,,,,,
1680875023190,,100.0,,,,,,
1680875038356,,99.0,,,,,1.0,
1680875057334,,99.0,,,,,1.0,
1680875069781,,99.0,,,,,1.0,
1680875086338,,99.0,,,,,1.0,
1680875100396,,100.0,,,,,,
1680875115681,,100.0,,,,,,
1680875131020,,99.0,,,,,1.0,
1680875146364,,99.0,,,,,1.0,
1680875161741,,96.0,1.0,1.0,1.0,,1.0,
1680875191150,,100.0,,,,,,
1680875191334,,100.0,,,,,,
1680875191391,,100.0,,,,,,
1680875538162,,100.0,,,,,,
1680875592241,,100.0,,,,,,
1680875592402,,100.0,,,,,,
1680875592452,,100.0,,,,,,
1680875897378,100.0,,,,,,,
1680875897523,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680875931675,,27.0,19.0,20.0,20.0,14.0,2.0,1.0
1680875946999,,36.0,17.0,16.0,16.0,15.0,3.0,
1680875966458,,28.0,17.0,26.0,26.0,9.0,3.0,1.0
1680875971612,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680875976795,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680875981946,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680875987114,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680876003759,100.0,,,,,,,
1680876003768,,44.0,17.0,18.0,18.0,8.0,3.0,
1680876016386,,96.0,1.0,1.0,1.0,,1.0,
1680876031729,,99.0,,,,,1.0,
1680876047056,,99.0,,,,,1.0,
1680876062377,,99.0,,,,,1.0,
1680876077784,,99.0,,,,,1.0,
1680876093036,,96.0,1.0,1.0,1.0,,1.0,
1680876108340,,96.0,2.0,,,,2.0,
1680876123704,,48.0,35.0,2.0,2.0,1.0,1.0,
1680876137576,,97.0,2.0,,,,1.0,
1680876152993,,92.0,4.0,1.0,1.0,1.0,,
1680876168380,,84.0,9.0,,,,3.0,
1680876183949,,98.0,1.0,,,,1.0,
1680876198432,,100.0,,,,,,
1680876211853,,100.0,,,,,,
1680876227020,,94.0,4.0,,,,2.0,
1680876242183,,97.0,1.0,,,,2.0,
1680876257520,,97.0,2.0,,,,1.0,
1680876272886,,98.0,1.0,,,,1.0,
1680876290133,,99.0,,,,,1.0,
1680876306431,,100.0,,,,,,
1680876551235,,100.0,,,,,,
1680876857646,,100.0,,,,,,
1680877216501,,100.0,,,,,,
1680863127348,100.0,,,,,,,
1680863127348,100.0,,,,,,,
1680863127412,,99.0,,,,,1.0,
1680863127412,,99.0,,,,,1.0,
1680863131067,,99.0,,,,,1.0,
1680863131067,,99.0,,,,,1.0,
1680863136212,,100.0,,,,,,
1680863136212,,100.0,,,,,,
1680863150982,,98.0,,,,,2.0,
1680863150982,,98.0,,,,,2.0,
1680863156281,100.0,,,,,,,
1680863156281,100.0,,,,,,,
1680863156324,,95.0,,2.0,2.0,1.0,2.0,
1680863156324,,95.0,,2.0,2.0,1.0,2.0,
1680863161580,,90.0,1.0,5.0,5.0,2.0,2.0,
1680863161580,,90.0,1.0,5.0,5.0,2.0,2.0,
1680863166738,100.0,,,,,,,
1680863166738,100.0,,,,,,,
1680863166800,,44.0,9.0,30.0,30.0,10.0,1.0,1.0
1680863166800,,44.0,9.0,30.0,30.0,10.0,1.0,1.0
1680863172059,,66.0,3.0,21.0,21.0,7.0,2.0,
1680863172059,,66.0,3.0,21.0,21.0,7.0,2.0,
1680863177265,,70.0,13.0,10.0,10.0,1.0,2.0,
1680863177265,,70.0,13.0,10.0,10.0,1.0,2.0,
1680863182517,,59.0,6.0,27.0,27.0,3.0,1.0,
1680863182517,,59.0,6.0,27.0,27.0,3.0,1.0,
1680863188956,,59.0,9.0,23.0,23.0,3.0,2.0,
1680863188956,,59.0,9.0,23.0,23.0,3.0,2.0,
1680863192872,,71.0,4.0,18.0,18.0,4.0,2.0,
1680863192872,,71.0,4.0,18.0,18.0,4.0,2.0,
1680863198097,,98.0,,1.0,1.0,,1.0,
1680863198097,,98.0,,1.0,1.0,,1.0,
1680863203309,,60.0,7.0,15.0,15.0,13.0,3.0,
1680863203309,,60.0,7.0,15.0,15.0,13.0,3.0,
1680863208659,,84.0,1.0,9.0,9.0,3.0,3.0,
1680863208659,,84.0,1.0,9.0,9.0,3.0,3.0,
1680863214084,,96.0,,2.0,2.0,1.0,1.0,
1680863214084,,96.0,,2.0,2.0,1.0,1.0,
1680863219247,,97.0,,2.0,2.0,,1.0,
1680863219247,,97.0,,2.0,2.0,,1.0,
1680863234496,,79.0,2.0,13.0,13.0,4.0,1.0,
