timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680873694207,,57.0,1.0,13.0,2.0,22.0,22.0,
1680873711595,,33.0,2.0,31.0,2.0,23.0,23.0,
1680873728160,,43.0,2.0,27.0,2.0,19.0,19.0,
1680873745167,,33.0,1.0,27.0,4.0,28.0,28.0,
1680873762164,,57.0,2.0,10.0,5.0,21.0,21.0,
1680873779155,,51.0,2.0,19.0,2.0,20.0,20.0,
1680873796160,,99.0,1.0,,,,,
1680873813136,,96.0,,2.0,,1.0,1.0,
1680873830082,,96.0,2.0,2.0,,,,
1680873847049,,98.0,2.0,,,,,
1680873864054,100.0,,,,,,,
1680873864107,,93.0,1.0,3.0,,1.0,1.0,
1680873881081,,96.0,2.0,1.0,,1.0,1.0,
1680873898023,,96.0,1.0,1.0,,1.0,1.0,
1680873915018,100.0,,,,,,,
1680873915059,,68.0,2.0,11.0,4.0,7.0,7.0,
1680873932100,,36.0,2.0,21.0,7.0,16.0,16.0,1.0
1680873949115,100.0,,,,,,,
1680873949143,,95.0,1.0,2.0,1.0,,,
1680873966157,,98.0,2.0,,,,,
1680873980516,,96.0,1.0,1.0,,1.0,1.0,
1680873997558,,98.0,1.0,,,1.0,1.0,
1680874014559,,99.0,1.0,,,,,
1680874031528,100.0,,,,,,,
1680874031553,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874048520,,56.0,2.0,16.0,2.0,17.0,17.0,
1680874065500,,38.0,3.0,16.0,2.0,32.0,32.0,
1680874082494,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874099488,,58.0,2.0,15.0,1.0,20.0,20.0,
1680874116459,,92.0,2.0,4.0,,2.0,2.0,
1680874133474,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874150470,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874167440,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874184446,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
