timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680863520700,,61.0,2.0,15.0,16.0,16.0,3.0,
1680863539027,,51.0,3.0,27.0,12.0,12.0,4.0,
1680863539032,100.0,,,,,,,
1680863555711,,39.0,2.0,6.0,29.0,29.0,21.0,1.0
1680863572702,,38.0,2.0,9.0,33.0,33.0,13.0,1.0
1680863589810,,35.0,2.0,10.0,28.0,28.0,15.0,1.0
1680863607009,100.0,,,,,,,
1680863607055,,84.0,2.0,5.0,6.0,6.0,2.0,
1680863624589,,98.0,1.0,1.0,,,,
1680863642155,,96.0,1.0,2.0,1.0,1.0,,
1680863659300,,90.0,2.0,5.0,2.0,2.0,,
1680863676391,,91.0,2.0,3.0,4.0,4.0,,
1680863693542,,99.0,1.0,,,,,
1680863710716,,97.0,1.0,,2.0,2.0,,
1680863727850,,99.0,1.0,,,,,
1680863744933,,99.0,1.0,,,,,
1680863762050,,100.0,,,,,,
1680863779093,,96.0,2.0,1.0,1.0,1.0,,
1680863796128,,97.0,1.0,1.0,1.0,1.0,,
1680870360577,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870397967,,37.0,2.0,20.0,23.0,23.0,6.0,
1680870415076,,40.0,3.0,18.0,24.0,24.0,4.0,
1680870432194,,51.0,3.0,18.0,15.0,15.0,5.0,
1680870449300,,92.0,2.0,3.0,1.0,1.0,,
1680870466366,,43.0,2.0,23.0,15.0,15.0,5.0,
1680870483413,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870500488,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870517612,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870534725,,83.0,2.0,5.0,6.0,6.0,1.0,
1680870551779,,35.0,2.0,26.0,18.0,18.0,2.0,
1680870568823,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870585885,,56.0,2.0,15.0,12.0,12.0,1.0,
1680870602950,,45.0,1.0,17.0,15.0,15.0,6.0,
1680870619966,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870637069,100.0,,,,,,,
1680870637181,,42.0,2.0,19.0,22.0,22.0,3.0,
1680870654275,100.0,,,,,,,
1680870654358,,73.0,3.0,9.0,11.0,11.0,1.0,
1680870671488,,44.0,2.0,16.0,19.0,19.0,3.0,
1680870688639,,53.0,2.0,16.0,14.0,14.0,4.0,
1680870705680,,52.0,2.0,17.0,14.0,14.0,4.0,
1680870717635,,42.0,2.0,29.0,18.0,18.0,2.0,
1680870734738,,96.0,1.0,1.0,1.0,1.0,,
1680870751807,,40.0,2.0,23.0,11.0,11.0,2.0,
1680870768835,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870786035,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870803137,,99.0,1.0,,,,,
1680870820276,,84.0,1.0,10.0,,,,
1680870837550,,65.0,3.0,19.0,3.0,3.0,,
1680870854604,,67.0,2.0,12.0,6.0,6.0,3.0,
1680870871601,,100.0,,,,,,
1680870888629,,49.0,2.0,27.0,9.0,9.0,2.0,
1680870900537,,47.0,2.0,20.0,11.0,11.0,1.0,
1680870917550,,97.0,1.0,2.0,,,,
1680870934588,,37.0,2.0,29.0,15.0,15.0,7.0,
1680870951636,,67.0,2.0,14.0,11.0,11.0,2.0,
1680837083716,100.0,,,,,,,
1680837083884,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837197092,100.0,,,,,,,
1680837197117,,99.0,1.0,,,,,
1680837219998,,97.0,1.0,1.0,,,,
1680837258095,,100.0,,,,,,
1680837281910,,39.0,1.0,35.0,18.0,18.0,4.0,
1680837298947,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837316016,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837333059,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837366387,,100.0,,,,,,
1680837404326,100.0,,,,,,,
1680837404489,,44.0,1.0,23.0,11.0,11.0,2.0,
1680837671610,100.0,,,,,,,
1680837671673,,98.0,1.0,1.0,,,,
1680837688741,,66.0,1.0,20.0,7.0,7.0,2.0,
1680837705748,,73.0,2.0,15.0,7.0,7.0,1.0,
1680837722779,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837739805,,38.0,2.0,26.0,18.0,18.0,6.0,
1680837756991,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680837774181,,65.0,1.0,13.0,15.0,15.0,2.0,
1680837791400,,88.0,1.0,8.0,3.0,3.0,,
1680837808587,,51.0,2.0,23.0,17.0,17.0,2.0,
1680837825764,,80.0,2.0,5.0,10.0,10.0,,
1680837842965,,89.0,2.0,3.0,6.0,6.0,,
1680837860188,,98.0,,1.0,1.0,1.0,,
1680837877390,,82.0,2.0,3.0,12.0,12.0,1.0,
1680837894629,,92.0,2.0,2.0,2.0,2.0,1.0,
1680837911863,100.0,,,,,,,
1680837911909,,55.0,1.0,19.0,10.0,10.0,1.0,
1680837928303,100.0,,,,,,,
1680837928322,,97.0,2.0,1.0,,,,
1680837945355,,100.0,,,,,,
1680837962403,,97.0,2.0,1.0,,,,
1680837979458,,99.0,1.0,,,,,
1680837996463,,96.0,1.0,1.0,2.0,2.0,,
1680838013655,,98.0,2.0,,,,,
1680838030861,,96.0,2.0,1.0,1.0,1.0,,
1680838048049,,99.0,1.0,,,,,
1680838065237,,96.0,1.0,1.0,2.0,2.0,,
1680838082494,,93.0,1.0,2.0,2.0,2.0,1.0,
1680838099734,,99.0,1.0,,,,,
1680838111310,,96.0,1.0,1.0,1.0,1.0,,
1680838128626,,98.0,1.0,,1.0,1.0,,
1680838145832,100.0,,,,,,,
1680838145879,,96.0,2.0,2.0,,,,
1680838163101,100.0,,,,,,,
1680838163177,,96.0,2.0,1.0,1.0,1.0,,
1680838180419,,98.0,2.0,,,,,
1680838197496,,99.0,1.0,,,,,
1680838214676,100.0,,,,,,,
1680838214817,,84.0,1.0,6.0,6.0,6.0,1.0,
1680838231458,,92.0,2.0,4.0,,,,
1680838248567,,99.0,1.0,,,,,
1680838265560,,99.0,1.0,,,,,
1680838546931,100.0,,,,,,,
1680838546935,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680838584411,,3.0,1.0,4.0,86.0,86.0,3.0,2.0
1680838670104,,62.0,2.0,6.0,19.0,19.0,7.0,
1680838699480,,99.0,1.0,,,,,
1680838716517,,100.0,,,,,,
1680838733541,,97.0,2.0,1.0,,,,
1680838750572,,97.0,1.0,1.0,1.0,1.0,,
1680838767633,,99.0,1.0,,,,,
1680838784711,,97.0,1.0,1.0,1.0,1.0,,
1680838804082,,96.0,2.0,1.0,1.0,1.0,,
1680838821127,,76.0,1.0,8.0,11.0,11.0,2.0,
1680838838166,,63.0,3.0,4.0,26.0,26.0,3.0,
1680838855279,,98.0,1.0,1.0,,,,
1680838873772,,100.0,,,,,,
1680838890806,,96.0,2.0,1.0,,,,
1680838907819,,96.0,1.0,2.0,1.0,1.0,,
1680838924861,,97.0,1.0,1.0,1.0,1.0,,
1680838941873,,98.0,1.0,,1.0,1.0,,
1680838958975,,89.0,1.0,1.0,8.0,8.0,1.0,
1680838976036,,65.0,2.0,10.0,12.0,12.0,7.0,
1680838993071,,42.0,2.0,18.0,28.0,28.0,4.0,
1680839010160,,72.0,2.0,7.0,17.0,17.0,1.0,
1680839027216,,58.0,3.0,12.0,19.0,19.0,3.0,
1680839079004,,99.0,1.0,,,,,
1680839094488,,89.0,1.0,5.0,2.0,2.0,1.0,
1680839111571,,54.0,2.0,12.0,21.0,21.0,5.0,
1680839128615,,96.0,1.0,1.0,2.0,2.0,,
1680839145640,,67.0,3.0,18.0,9.0,9.0,1.0,
1680839480864,100.0,,,,,,,
1680839480926,,100.0,,,,,,
1680840374842,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680840392262,,100.0,,,,,,
1680840409054,,100.0,,,,,,
1680840426127,,99.0,1.0,,,,,
1680840443187,,99.0,1.0,,,,,
1680840460236,,98.0,2.0,,,,,
1680840477321,,96.0,1.0,1.0,1.0,1.0,,
1680840494378,,99.0,1.0,,,,,
1680840511451,,83.0,2.0,8.0,1.0,1.0,,
1680840528499,,97.0,2.0,1.0,,,,
1680840545597,,92.0,2.0,5.0,,,,
1680840562669,,97.0,,1.0,1.0,1.0,,
1680840574987,,97.0,1.0,1.0,1.0,1.0,,
1680840592052,,96.0,2.0,2.0,,,,
1680840609148,,98.0,1.0,1.0,,,,
1680840626210,,59.0,1.0,31.0,3.0,3.0,2.0,
1680840643302,,97.0,1.0,2.0,,,,
1680840660396,,97.0,1.0,1.0,,,,
1680840677443,,98.0,1.0,1.0,,,,
1680840694516,,85.0,2.0,12.0,1.0,1.0,,
1680840711566,,98.0,1.0,1.0,,,,
1680840728649,,88.0,2.0,8.0,1.0,1.0,,
1680840745725,,86.0,1.0,11.0,1.0,1.0,,
1680840757945,,93.0,1.0,4.0,2.0,2.0,,
1680840774983,,99.0,1.0,,,,,
1680840792060,,96.0,2.0,2.0,,,,
1680840809107,,96.0,1.0,2.0,,,,
1680840826135,,100.0,,,,,,
1680840843170,,98.0,1.0,1.0,,,,
1680840860262,,96.0,2.0,1.0,1.0,1.0,,
1680877307978,,92.0,1.0,3.0,4.0,4.0,,
1680877324970,,86.0,2.0,7.0,5.0,5.0,,
1680877341972,,66.0,1.0,21.0,9.0,9.0,1.0,
1680877358946,,96.0,1.0,1.0,1.0,1.0,,
